Sample,X,Y,Z
0,1.031,0.215,0.078
1,1.004,0.109,-0.047
2,0.922,0.254,-0.094
3,0.910,0.230,-0.160
4,0.926,-0.059,-0.047
5,1.031,-0.137,0.078
6,1.035,0.090,0.020
7,0.992,0.250,-0.047
8,0.988,0.152,-0.098
9,0.953,-0.008,0.012
10,0.941,0.000,-0.031
11,0.988,0.043,-0.043
12,1.016,0.023,-0.020
13,0.988,0.051,-0.016
14,1.004,0.059,-0.074
15,1.027,-0.031,-0.027
16,1.016,-0.047,0.031
17,0.973,0.004,0.000
18,0.965,0.047,-0.027
19,1.023,0.027,-0.070
20,1.027,-0.012,-0.035
21,1.016,0.004,0.012
22,1.016,0.039,-0.016
23,1.016,0.039,-0.031
24,0.988,0.035,-0.059
25,0.973,0.020,-0.051
26,0.984,0.008,-0.023
27,0.992,0.027,-0.051
28,0.969,0.035,-0.055
29,0.988,0.012,-0.020
30,1.023,0.020,-0.012
31,1.039,0.012,0.000
32,1.035,0.043,0.031
33,1.023,0.051,0.008
34,0.992,0.035,-0.012
35,1.004,0.020,0.016
36,1.031,0.035,-0.012
37,1.051,0.035,0.008
38,1.027,0.055,0.012
39,1.004,0.078,-0.020
40,0.969,0.047,-0.039
41,1.000,0.016,-0.035
42,1.027,0.004,-0.027
43,1.016,0.059,-0.039
44,0.996,0.074,-0.043
45,0.957,0.016,-0.051
46,0.953,-0.004,-0.035
47,0.988,0.020,-0.059
48,1.023,0.039,-0.023
49,1.031,0.027,-0.008
50,1.012,0.051,-0.043
51,0.984,0.051,-0.066
52,0.992,0.020,-0.023
53,1.023,0.020,-0.012
54,1.031,0.020,-0.012
55,1.031,0.031,-0.008
56,1.016,0.051,-0.027
57,0.984,0.043,-0.020
58,0.996,0.023,-0.012
59,1.008,0.027,0.004
60,0.973,0.023,-0.004
61,0.984,0.035,-0.043
62,0.984,0.047,-0.039
63,0.996,0.047,-0.035
64,1.004,0.016,-0.020
65,1.020,0.027,-0.004
66,1.027,0.043,-0.031
67,1.016,0.027,-0.027
68,0.996,0.035,-0.012
69,1.004,0.027,-0.027
70,1.000,0.008,-0.012
71,1.016,0.000,-0.004
72,1.039,0.031,-0.027
73,1.031,0.047,-0.031
74,1.016,0.012,-0.008
75,0.996,0.020,-0.027
76,0.988,0.031,-0.047
77,1.000,0.016,-0.031
78,1.004,0.031,-0.043
79,1.008,0.023,-0.012
80,1.031,0.020,-0.031
81,0.984,0.016,-0.012
82,0.992,0.035,-0.016
83,1.012,0.031,-0.008
84,1.027,0.055,-0.031
85,1.020,0.023,-0.012
86,1.016,0.016,-0.008
87,1.004,0.043,-0.031
88,0.988,0.070,-0.035
89,1.004,0.020,-0.008
90,1.023,-0.004,-0.016
91,1.016,0.023,-0.023
92,1.000,0.043,-0.031
93,0.984,0.039,-0.031
94,0.996,0.012,-0.023
95,1.012,-0.016,-0.008
96,1.012,0.020,-0.016
97,1.012,0.051,-0.039
98,1.000,0.023,-0.027
99,1.000,0.012,-0.027
100,1.043,0.039,-0.012
101,1.000,0.031,-0.043
102,1.004,0.016,0.000
103,1.008,0.051,-0.020
104,0.992,0.055,-0.035
105,0.996,0.012,0.004
106,1.016,0.020,0.000
107,1.031,0.035,-0.008
108,1.031,0.031,-0.012
109,1.012,0.027,0.000
110,1.004,0.023,-0.023
111,1.000,0.016,-0.008
112,1.016,0.016,-0.027
113,1.020,-0.004,-0.016
114,1.012,0.000,-0.012
115,1.008,0.039,-0.023
116,0.996,0.043,-0.043
117,0.992,0.020,-0.008
118,1.008,0.023,-0.012
119,1.027,0.020,-0.016
120,1.027,0.031,0.039
121,1.004,0.055,-0.043
122,0.996,0.023,-0.023
123,1.000,0.012,-0.023
124,1.008,0.023,-0.031
125,1.012,0.023,-0.020
126,1.027,0.016,-0.012
127,0.996,0.031,-0.031
128,0.984,0.035,-0.039
129,0.488,0.012,-0.031
130,0.996,0.016,-0.027
131,1.023,0.023,-0.020
132,1.043,0.020,-0.008
133,1.020,0.027,-0.035
134,1.004,0.020,-0.039
135,0.992,0.016,-0.035
136,0.992,0.008,-0.035
137,1.012,0.000,-0.008
138,1.023,0.020,-0.020
139,1.004,0.031,-0.039
140,0.977,0.004,-0.023
141,1.008,0.016,-0.004
142,1.004,0.031,-0.027
143,1.020,0.035,-0.039
144,1.016,0.020,-0.020
145,1.004,0.020,-0.016
146,0.992,0.016,-0.043
147,1.004,0.012,-0.016
148,1.016,0.008,-0.016
149,1.016,0.004,-0.027
150,1.016,0.020,-0.012
151,1.008,0.023,-0.027
152,1.008,0.027,-0.016
153,1.004,0.027,-0.008
154,1.000,0.039,-0.027
155,1.023,0.035,-0.027
156,1.020,0.016,-0.012
157,1.012,0.023,-0.027
158,1.016,0.031,-0.027
159,1.004,0.023,-0.039
160,0.992,-0.004,-0.027
161,1.004,-0.012,-0.023
162,1.000,0.004,-0.027
163,1.008,0.016,-0.027
164,1.000,0.020,-0.020
165,1.004,0.020,-0.023
166,1.008,0.020,-0.016
167,1.023,0.031,-0.031
168,1.031,0.023,-0.016
169,1.016,0.023,-0.008
170,0.992,0.035,-0.043
171,0.984,0.016,-0.023
172,1.000,-0.008,-0.020
173,1.000,0.016,-0.023
174,1.027,0.012,-0.016
175,1.020,0.023,-0.008
176,0.996,0.043,-0.043
177,0.992,0.035,-0.043
178,1.012,0.004,-0.020
179,1.023,0.012,-0.027
180,1.008,0.023,0.004
181,0.996,0.043,-0.027
182,0.996,0.004,-0.035
183,0.996,0.012,-0.016
184,1.012,0.023,-0.043
185,1.020,0.008,-0.020
186,1.016,0.008,0.000
187,1.004,0.051,-0.035
188,1.000,0.043,-0.031
189,1.000,0.004,0.012
190,1.016,0.012,-0.031
191,1.004,0.016,-0.016
192,1.016,0.031,-0.008
193,1.008,0.047,-0.039
194,0.992,0.031,-0.035
195,0.992,0.004,0.000
196,1.000,0.016,-0.039
197,1.012,0.020,-0.039
198,1.008,0.008,-0.008
199,1.012,0.016,-0.012
200,1.012,0.023,-0.035
201,0.988,0.012,-0.004
202,1.023,0.008,-0.008
203,1.016,0.039,-0.016
204,1.016,0.043,-0.012
205,1.008,0.031,-0.012
206,1.004,0.039,-0.035
207,0.992,0.016,-0.031
208,1.004,0.004,-0.023
209,1.016,0.039,-0.020
210,1.016,0.047,-0.035
211,1.004,0.020,-0.008
212,0.992,0.035,-0.039
213,0.984,0.035,-0.043
214,1.012,0.020,-0.020
215,1.020,0.027,-0.008
216,1.012,0.043,-0.020
217,0.496,0.027,-0.027
218,0.992,0.008,-0.012
219,1.004,0.035,-0.016
220,1.066,0.039,-0.043
221,1.004,0.027,0.000
222,1.012,0.035,-0.004
223,1.008,0.051,-0.027
224,0.984,0.047,-0.020
225,1.004,0.020,0.004
226,1.020,0.031,-0.016
227,1.016,0.023,-0.012
228,1.008,0.027,-0.012
229,0.992,0.043,-0.027
230,0.984,0.035,-0.027
231,1.000,0.027,-0.027
232,1.016,0.031,-0.020
233,1.016,0.031,-0.012
234,1.012,0.031,-0.004
235,1.004,0.047,-0.008
236,1.000,0.055,-0.016
237,1.012,0.023,-0.023
238,1.020,0.016,-0.008
239,1.023,0.043,-0.016
240,1.008,0.039,-0.012
241,0.988,0.062,-0.020
242,1.000,0.043,-0.027
243,1.004,0.016,-0.023
244,1.016,0.039,-0.043
245,1.008,0.051,-0.031
246,1.000,0.035,-0.016
247,0.996,0.051,-0.020
248,1.000,0.043,-0.035
249,1.004,0.027,-0.027
250,1.020,0.027,-0.012
251,1.020,0.023,-0.012
252,1.020,0.047,-0.012
253,1.008,0.047,-0.012
254,0.996,0.031,-0.020
255,1.004,0.039,-0.035
256,1.020,0.023,-0.004
257,1.027,0.035,-0.008
258,1.008,0.051,-0.027
259,1.000,0.055,-0.020
260,0.992,0.043,-0.027
261,1.016,0.039,-0.055
262,1.020,0.031,-0.016
263,1.020,0.047,-0.016
264,1.008,0.043,-0.035
265,0.988,0.039,-0.031
266,1.000,0.039,-0.035
267,0.992,0.020,-0.020
268,1.020,0.016,-0.023
269,1.012,0.035,-0.027
270,1.004,0.055,-0.031
271,0.996,0.055,-0.020
272,1.016,0.020,-0.020
273,1.012,0.016,-0.012
274,1.012,0.047,-0.008
275,1.008,0.051,-0.020
276,1.000,0.020,-0.016
277,1.008,0.020,-0.020
278,1.004,0.035,-0.031
279,1.008,0.020,-0.039
280,1.004,0.020,-0.008
281,0.996,0.043,-0.031
282,1.012,0.047,-0.027
283,1.008,0.035,-0.016
284,0.988,0.027,-0.023
285,1.000,0.051,-0.023
286,1.012,0.035,-0.016
287,1.020,0.035,-0.012
288,1.012,0.035,-0.023
289,1.016,0.027,-0.012
290,1.004,0.035,-0.035
291,1.000,0.027,-0.035
292,1.016,0.023,-0.020
293,1.012,0.027,-0.027
294,1.000,0.035,-0.023
295,0.996,0.051,-0.016
296,1.004,0.035,-0.035
297,1.016,0.016,-0.031
298,1.016,0.035,-0.016
299,1.008,0.055,-0.043
300,1.023,0.027,-0.070
301,0.992,0.023,-0.023
302,1.000,0.020,-0.035
303,1.012,0.031,-0.027
304,1.004,0.035,-0.004
305,1.012,0.031,-0.031
306,1.000,0.023,-0.016
307,1.008,0.031,-0.020
308,1.008,0.027,-0.031
309,1.008,0.023,-0.016
310,1.020,0.020,-0.008
311,1.012,0.035,-0.027
312,1.000,0.027,-0.020
313,1.008,0.020,-0.023
314,1.000,0.023,-0.027
315,1.016,0.035,-0.031
316,1.012,0.023,-0.027
317,1.016,0.016,-0.012
318,0.996,0.023,-0.020
319,1.004,0.023,-0.023
320,1.016,0.020,-0.035
321,1.004,0.020,-0.016
322,1.008,0.031,-0.016
323,1.016,0.043,-0.031
324,1.008,0.020,-0.023
325,1.004,0.023,0.000
326,1.000,0.031,-0.035
327,1.012,0.016,-0.023
328,1.016,0.004,-0.012
329,1.012,0.023,-0.031
330,1.004,0.016,-0.031
331,1.004,0.027,0.000
332,1.016,0.035,-0.023
333,1.020,0.023,-0.023
334,1.016,0.020,-0.027
335,1.008,0.020,-0.020
336,1.004,0.020,-0.027
337,1.004,0.016,-0.035
338,1.008,0.027,-0.023
339,1.016,0.031,-0.039
340,1.012,0.016,-0.004
341,1.004,0.031,-0.023
342,1.012,0.035,-0.027
343,0.996,0.027,-0.016
344,1.004,0.020,-0.031
345,1.016,0.020,-0.027
346,1.012,0.020,-0.031
347,1.008,0.027,-0.027
348,1.004,0.016,-0.027
349,1.008,0.027,-0.027
350,1.004,0.020,-0.035
351,1.012,0.023,-0.031
352,1.008,0.016,-0.031
353,1.008,0.023,-0.020
354,1.008,0.020,-0.031
355,1.008,0.016,-0.008
356,1.004,0.008,-0.016
357,1.016,0.020,-0.027
358,1.020,0.035,-0.008
359,1.020,0.035,-0.020
360,0.984,0.012,0.020
361,1.008,0.023,-0.012
362,1.004,0.023,-0.020
363,1.008,0.027,-0.023
364,1.004,0.020,-0.008
365,1.016,0.020,-0.023
366,1.008,0.035,-0.027
367,1.008,0.031,-0.031
368,1.008,0.023,-0.023
369,1.016,0.020,-0.012
370,1.008,0.020,-0.031
371,1.000,0.020,-0.020
372,1.004,0.023,-0.027
373,1.004,0.012,-0.023
374,1.008,0.027,-0.027
375,1.008,0.020,-0.012
376,1.008,0.016,-0.016
377,1.004,0.031,-0.016
378,1.016,0.035,-0.039
379,1.004,0.016,-0.012
380,1.027,0.012,-0.020
381,1.004,0.023,-0.035
382,1.012,0.008,-0.016
383,1.008,0.031,-0.023
384,1.008,0.035,-0.047
385,0.996,0.020,-0.023
386,1.004,0.008,-0.027
387,1.012,0.031,-0.027
388,1.008,0.031,-0.039
389,1.004,0.004,-0.027
390,1.004,0.016,-0.016
391,1.012,0.027,-0.023
392,1.004,0.016,-0.012
393,1.008,0.031,-0.012
394,1.016,0.031,-0.031
395,1.020,0.023,-0.016
396,1.016,0.031,-0.020
397,1.012,0.027,-0.027
398,1.004,0.016,-0.020
399,1.004,0.008,-0.023
400,1.000,0.004,-0.016
401,1.012,0.023,-0.020
402,0.992,0.051,0.012
403,1.012,0.023,-0.043
404,1.016,0.016,-0.016
405,1.008,0.020,-0.027
406,1.012,0.035,-0.027
407,1.012,0.020,-0.023
408,1.008,0.004,-0.012
409,1.000,0.016,-0.027
410,1.004,0.027,-0.031
411,1.016,0.004,-0.020
412,1.008,0.016,-0.004
413,1.012,0.031,-0.020
414,1.004,0.039,-0.031
415,0.996,0.027,-0.023
416,1.016,0.020,-0.031
417,1.020,0.016,-0.016
418,1.016,0.016,-0.020
419,1.016,0.035,-0.012
420,1.004,0.027,-0.031
421,1.000,0.023,-0.035
422,1.031,0.000,-0.027
423,1.016,0.016,-0.012
424,1.004,0.020,-0.020
425,1.004,0.027,-0.016
426,1.000,0.020,-0.023
427,1.008,0.016,-0.031
428,1.008,0.035,-0.020
429,1.016,0.027,-0.008
430,1.020,0.027,-0.020
431,1.004,0.039,-0.016
432,0.992,0.023,-0.031
433,0.996,0.012,-0.027
434,1.016,0.008,-0.020
435,1.008,0.016,-0.023
436,1.012,0.020,-0.020
437,1.012,0.020,-0.020
438,1.000,0.031,-0.023
439,1.000,0.031,-0.023
440,1.004,0.027,-0.023
441,1.004,0.023,-0.012
442,1.016,0.023,-0.035
443,1.008,0.004,0.051
444,1.023,0.035,-0.020
445,1.004,0.035,-0.031
446,1.000,0.016,-0.023
447,1.016,0.012,-0.016
448,1.012,0.027,-0.023
449,1.020,0.039,-0.016
450,1.004,0.039,-0.027
451,1.008,0.020,-0.023
452,1.012,0.027,-0.031
453,1.016,0.027,-0.023
454,1.008,0.020,-0.008
455,1.020,0.039,-0.008
456,1.020,0.031,-0.035
457,1.008,0.016,-0.023
458,1.004,0.027,-0.035
459,1.008,0.031,-0.027
460,1.008,0.027,-0.027
461,1.016,0.027,-0.012
462,1.008,0.008,0.004
463,1.000,0.027,-0.035
464,1.008,0.031,-0.020
465,1.016,0.027,-0.012
466,1.020,0.035,-0.027
467,1.004,0.031,-0.027
468,1.008,0.020,-0.023
469,1.004,0.020,-0.020
470,1.004,0.031,-0.031
471,1.016,0.023,-0.020
472,1.012,0.016,-0.016
473,1.004,0.027,-0.027
474,1.004,0.043,-0.035
475,1.008,0.020,-0.031
476,1.008,0.020,-0.012
477,1.008,0.047,-0.016
478,1.008,0.035,-0.027
479,1.012,0.020,-0.027
480,1.012,0.031,-0.016
481,1.012,0.031,-0.027
482,1.012,0.023,0.047
483,1.016,0.043,-0.016
484,1.012,0.031,-0.023
485,1.004,0.023,-0.012
486,1.004,0.043,-0.027
487,1.008,0.031,-0.023
488,1.016,0.031,-0.023
489,1.020,0.016,-0.012
490,1.008,0.035,-0.020
491,1.008,0.051,-0.012
492,1.004,0.031,-0.031
493,1.000,0.023,-0.031
494,1.000,0.035,-0.020
495,1.008,0.043,-0.031
496,1.008,0.027,-0.016
497,1.000,0.023,-0.023
498,1.008,0.043,-0.027
499,1.012,0.059,-0.027
500,1.004,0.031,-0.008
501,1.016,0.027,-0.016
502,1.012,0.035,-0.016
503,0.992,0.047,-0.035
504,1.008,0.039,-0.023
505,0.992,0.020,-0.012
506,1.004,0.031,-0.020
507,1.016,0.047,-0.027
508,1.008,0.020,-0.023
509,1.004,0.031,-0.031
510,1.004,0.055,-0.023
511,1.008,0.035,-0.027
512,1.012,0.027,-0.016
513,1.012,0.035,-0.031
514,1.004,0.035,-0.023
515,1.012,0.051,-0.016
516,1.016,0.043,-0.023
517,1.000,0.023,-0.016
518,1.008,0.027,-0.027
519,1.004,0.043,-0.031
520,1.008,0.039,-0.020
521,1.000,0.043,-0.016
522,1.000,0.016,-0.008
523,1.004,0.023,-0.023
524,1.012,0.047,-0.023
525,1.016,0.062,-0.043
526,1.016,0.027,-0.016
527,1.004,0.000,-0.012
528,1.004,0.031,-0.027
529,1.000,0.039,-0.039
530,1.012,0.027,-0.020
531,1.012,0.027,0.000
532,1.008,0.027,-0.020
533,1.004,0.039,-0.023
534,1.008,0.039,-0.020
535,1.004,0.047,-0.027
536,1.012,0.031,-0.020
537,1.020,0.020,-0.020
538,1.012,0.039,-0.016
539,1.012,0.039,-0.016
540,1.000,0.035,-0.035
541,1.004,0.027,-0.016
542,1.012,0.027,-0.023
543,0.973,0.031,0.004
544,1.012,0.031,-0.031
545,1.012,0.023,-0.016
546,1.016,0.043,-0.031
547,1.000,0.035,-0.023
548,1.004,0.039,-0.031
549,1.004,0.027,-0.016
550,1.004,0.023,-0.027
551,1.008,0.027,-0.012
552,1.008,0.047,-0.020
553,1.008,0.031,-0.016
554,1.016,0.012,-0.020
555,1.004,0.035,-0.027
556,1.004,0.035,-0.027
557,1.008,0.020,-0.004
558,1.012,0.031,-0.023
559,1.012,0.031,-0.023
560,0.988,0.035,-0.008
561,1.012,0.035,-0.016
562,1.012,0.016,-0.051
563,1.008,0.027,-0.027
564,1.008,0.039,-0.020
565,1.004,0.020,-0.031
566,1.000,0.012,0.000
567,1.016,0.031,-0.023
568,1.012,0.023,-0.027
569,1.008,0.020,-0.012
570,1.008,0.027,-0.012
571,1.016,0.023,-0.027
572,1.016,0.039,-0.012
573,1.008,0.039,-0.012
574,1.016,0.016,-0.027
575,1.004,0.012,-0.004
