Sample,X,Y,Z
0,-0.031,-0.016,-0.969
1,-0.035,0.020,-0.512
2,-0.035,0.000,-1.000
3,-0.055,-0.012,-1.016
4,-0.043,-0.016,-0.504
5,-0.027,0.008,-1.023
6,-0.020,0.004,-1.012
7,-0.043,0.008,-0.996
8,-0.047,-0.008,-1.008
9,-0.043,-0.004,-1.020
10,-0.023,-0.004,-1.020
11,-0.031,0.004,-1.016
12,-0.047,0.004,-1.000
13,-0.059,0.012,-1.004
14,-0.035,-0.004,-1.016
15,-0.027,0.004,-1.020
16,-0.035,0.004,-1.008
17,-0.047,0.004,-1.004
18,-0.043,0.004,-0.992
19,-0.035,0.000,-1.008
20,-0.031,-0.008,-1.004
21,-0.039,0.000,-1.020
22,-0.051,0.012,-1.008
23,-0.047,0.004,-1.004
24,-0.035,0.012,-1.004
25,-0.039,-0.020,-1.016
26,-0.031,0.012,-1.027
27,-0.031,0.000,-1.008
28,-0.051,0.016,-1.008
29,-0.047,-0.016,-1.000
30,-0.020,0.027,-1.020
31,-0.031,-0.004,-1.012
32,-0.055,-0.012,-1.020
33,-0.059,-0.016,-1.004
34,-0.031,0.008,-1.004
35,-0.031,0.008,-1.016
36,-0.035,-0.012,-1.012
37,-0.035,0.000,-1.027
38,-0.059,0.004,-1.012
39,-0.055,0.008,-0.992
40,-0.020,0.020,-1.039
41,-0.016,0.012,-1.031
42,-0.059,-0.012,-1.020
43,-0.059,0.008,-1.008
44,-0.031,0.027,-0.992
45,-0.035,0.012,-1.004
46,-0.031,-0.004,-1.016
47,-0.027,-0.004,-1.027
48,-0.055,-0.008,-1.012
49,-0.062,0.016,-1.004
50,-0.023,0.012,-1.004
51,-0.031,0.016,-1.004
52,-0.051,-0.004,-1.016
53,-0.039,-0.004,-1.016
54,-0.043,0.004,-1.000
55,-0.059,0.008,-1.004
56,-0.031,0.016,-1.008
57,-0.023,0.012,-1.012
58,-0.047,-0.004,-1.016
59,-0.051,-0.016,-1.008
60,-0.027,0.051,-1.004
61,-0.023,-0.004,-1.008
62,-0.047,0.000,-1.004
63,-0.027,-0.008,-1.012
64,-0.039,0.000,-1.016
65,-0.039,-0.004,-1.012
66,-0.043,0.012,-1.004
67,-0.031,0.012,-1.008
68,-0.043,-0.008,-1.008
69,-0.055,-0.008,-1.012
70,-0.031,-0.004,-1.004
71,-0.039,0.023,-1.004
72,-0.027,-0.008,-1.008
73,-0.031,0.012,-1.016
74,-0.039,-0.012,-1.020
75,-0.047,0.000,-1.008
76,-0.020,0.012,-1.004
77,-0.023,0.016,-1.008
78,-0.043,-0.008,-1.016
79,-0.043,-0.020,-1.012
80,-0.035,0.066,-1.031
81,-0.027,0.004,-1.000
82,-0.031,0.023,-1.008
83,-0.031,-0.016,-1.008
84,-0.055,-0.008,-1.016
85,-0.043,0.000,-1.004
86,-0.012,0.020,-1.008
87,-0.023,0.012,-0.992
88,-0.035,-0.004,-1.008
89,-0.047,-0.004,-1.016
90,-0.039,-0.012,-1.012
91,-0.027,0.004,-1.008
92,-0.020,0.012,-0.992
93,-0.043,0.008,-1.008
94,-0.051,-0.016,-1.020
95,-0.043,-0.020,-1.016
96,-0.016,0.012,-1.008
97,-0.066,0.043,-1.012
98,-0.227,-0.016,-1.047
99,-0.340,0.012,-1.074
100,-0.387,0.109,-1.047
101,-0.598,0.098,-0.992
102,-0.895,0.012,-0.973
103,-0.953,0.027,-1.000
104,-0.895,0.070,-0.992
105,-0.844,0.137,-0.914
106,-0.902,0.172,-0.883
107,-0.965,-0.051,-0.930
108,-0.570,0.074,-1.004
109,-0.328,0.164,-1.035
110,-0.512,-0.090,-1.008
111,-0.246,0.012,-0.969
112,0.000,0.258,-0.988
113,-0.234,-0.195,-0.992
114,-0.051,0.055,-1.016
115,0.121,0.062,-1.023
116,-0.152,0.008,-1.035
117,-0.219,-0.094,-0.992
118,-0.062,0.211,-0.988
119,-0.367,-0.129,-1.062
120,-0.449,-0.043,-1.098
121,-0.359,0.145,-1.105
122,-0.547,0.039,-1.000
123,-0.766,-0.043,-0.922
124,-0.672,0.113,-1.004
125,-0.715,-0.059,-1.066
126,-0.719,-0.047,-1.066
127,-0.516,0.082,-1.027
128,-0.418,0.188,-0.957
129,-0.617,0.043,-0.941
130,-0.555,0.000,-0.965
131,-0.434,0.051,-1.035
132,-0.367,-0.020,-1.020
133,-0.238,0.145,-0.984
134,-0.199,0.156,-0.906
135,-0.418,0.059,-0.891
136,-0.465,-0.051,-0.988
137,-0.289,0.000,-1.078
138,-0.105,0.113,-1.059
139,-0.281,0.094,-1.023
140,-0.449,-0.031,-1.066
141,-0.281,0.176,-1.043
142,-0.480,0.012,-1.027
143,-0.625,-0.129,-0.992
144,-0.391,0.004,-1.008
145,-0.250,0.125,-1.031
146,-0.656,-0.066,-1.035
147,-0.719,-0.125,-1.008
148,-0.449,0.121,-1.012
149,-0.547,-0.043,-1.000
150,-0.691,-0.090,-1.074
151,-0.344,0.172,-0.996
152,-0.375,0.277,-0.477
153,-0.711,-0.082,-0.930
154,-0.422,0.082,-0.945
155,-0.250,0.164,-1.004
156,-0.492,-0.125,-1.016
157,-0.355,0.191,-1.051
158,-0.172,0.164,-1.012
159,-0.387,0.008,-0.969
160,-0.383,0.027,-0.965
161,-0.395,0.055,-0.973
162,-0.383,-0.051,-1.023
163,-0.215,0.008,-0.957
164,-0.223,0.184,-0.988
165,-0.609,-0.121,-1.129
166,-0.574,-0.238,-1.125
167,-0.254,0.141,-1.098
168,-0.523,0.039,-1.020
169,-0.875,-0.125,-0.973
170,-0.344,0.176,-1.004
171,-0.328,0.258,-1.000
172,-0.809,-0.152,-0.977
173,-0.484,0.055,-1.012
174,-0.016,0.363,-1.012
175,-0.465,-0.059,-0.973
176,-0.742,-0.043,-0.988
177,-0.141,0.023,-0.895
178,-0.223,0.355,-0.906
179,-0.906,-0.352,-1.023
180,-0.371,-0.004,-1.016
181,-0.016,0.535,-0.973
182,-0.766,-0.152,-1.012
183,-0.797,-0.285,-1.020
184,0.184,0.531,-1.102
185,-0.527,-0.227,-1.098
186,-0.438,-0.172,-1.035
187,0.355,0.465,-0.902
188,-0.254,0.031,-0.973
189,-0.500,-0.461,-0.922
190,0.477,0.332,-0.957
191,0.270,0.016,-1.031
192,0.270,0.016,-1.031
193,0.066,-0.168,-1.031
194,0.469,-0.035,-0.965
195,0.457,0.133,-1.066
196,-0.082,-0.336,-1.148
197,0.500,0.039,-1.109
198,0.730,0.387,-1.012
199,-0.043,-0.148,-0.949
200,-0.395,-0.102,-0.961
201,-0.035,0.070,-0.934
202,-0.207,-0.004,-1.094
203,-0.496,-0.250,-1.070
204,-0.133,0.016,-1.070
205,-0.066,0.152,-0.949
206,-0.750,-0.309,-1.035
207,-0.344,-0.062,-1.176
208,0.215,0.320,-1.027
209,-0.211,0.137,-0.926
210,-0.324,0.004,-0.836
211,-0.215,-0.008,-0.898
212,0.047,0.020,-0.957
213,0.113,-0.043,-1.031
214,-0.008,0.023,-1.016
215,-0.078,-0.340,-1.035
216,0.633,0.328,-1.035
217,0.016,-0.043,-0.996
218,-0.355,-0.352,-1.137
219,0.414,0.254,-1.074
220,0.332,0.215,-0.965
221,-0.164,-0.176,-0.887
222,0.242,0.297,-0.906
223,0.211,0.074,-0.938
224,-0.473,-0.270,-1.043
225,-0.113,-0.129,-1.023
226,-0.055,0.023,-1.094
227,-0.141,-0.043,-1.176
228,-0.137,-0.125,-0.980
229,-0.238,0.223,-1.066
230,-0.371,-0.234,-1.070
231,-0.027,0.211,-1.102
232,0.090,0.176,-0.902
233,-0.227,0.016,-0.906
234,-0.043,0.051,-0.797
235,-0.113,0.055,-0.973
236,-0.102,-0.203,-1.023
237,0.066,0.062,-1.035
238,0.258,0.074,-1.066
239,0.316,-0.047,-0.938
240,-0.152,-0.082,-1.000
241,-0.285,-0.234,-1.211
242,0.066,0.039,-1.141
243,0.117,0.004,-0.957
244,0.094,0.262,-0.996
245,0.055,-0.141,-0.922
246,0.016,0.082,-0.957
247,-0.062,-0.219,-0.949
248,-0.102,0.148,-1.102
249,-0.141,-0.195,-1.117
250,0.109,0.199,-1.055
251,-0.055,0.035,-0.871
252,-0.352,-0.055,-0.887
253,-0.211,-0.004,-1.098
254,0.004,0.117,-1.141
255,0.004,0.035,-0.988
256,-0.008,0.133,-0.859
257,-0.125,-0.082,-0.965
258,-0.055,-0.117,-1.074
259,-0.320,0.016,-1.105
260,-0.422,-0.281,-1.098
261,0.246,0.258,-0.996
262,0.449,0.297,-0.766
263,-0.305,-0.070,-0.840
264,-0.121,-0.188,-0.980
265,0.324,0.215,-1.188
266,-0.199,-0.172,-1.176
267,0.047,-0.059,-1.047
268,0.449,0.211,-0.859
269,-0.141,-0.090,-1.043
270,-0.484,-0.461,-1.133
271,0.207,0.289,-1.125
272,0.059,-0.078,-0.934
273,-0.180,-0.109,-0.840
274,0.129,0.203,-0.922
275,-0.039,-0.070,-1.078
276,-0.387,-0.148,-1.172
277,0.082,-0.066,-1.051
278,0.438,0.559,-1.023
279,-0.242,-0.254,-0.898
280,-0.160,-0.066,-0.977
281,0.164,0.105,-0.938
282,-0.270,-0.098,-1.039
283,-0.492,-0.418,-1.016
284,0.203,0.172,-1.078
285,0.102,0.016,-0.957
286,-0.383,-0.117,-0.984
287,-0.148,-0.039,-1.121
288,0.191,0.188,-1.148
289,0.043,-0.082,-1.008
290,0.246,0.258,-0.824
291,0.293,0.238,-0.898
292,-0.316,-0.203,-1.027
293,-0.312,-0.336,-1.105
294,0.312,0.191,-0.973
295,-0.066,-0.047,-0.957
296,-0.398,-0.391,-1.008
297,0.129,0.062,-1.102
298,0.215,0.219,-1.090
299,-0.465,-0.234,-1.043
300,0.121,0.059,-1.012
301,0.492,0.496,-0.934
302,-0.258,-0.113,-0.906
303,-0.250,-0.148,-0.867
304,0.180,0.246,-0.965
305,-0.074,-0.125,-1.051
306,-0.172,-0.078,-1.066
307,0.195,0.102,-0.992
308,-0.121,0.102,-1.000
309,-0.480,-0.254,-1.090
310,-0.098,0.082,-1.109
311,-0.012,0.164,-1.059
312,-0.219,-0.145,-0.910
313,0.230,0.199,-0.730
314,0.082,0.113,-0.984
315,-0.125,-0.395,-1.082
316,0.461,0.020,-1.074
317,0.457,0.523,-1.129
318,-0.562,-0.691,-1.070
319,-0.184,0.141,-1.129
320,0.184,0.082,-1.066
321,-0.355,-0.195,-0.980
