Sample,X,Y,Z
0,0.043,-0.203,-1.391
1,-0.008,0.004,-1.008
2,-0.023,0.012,-1.008
3,-0.031,0.012,-1.012
4,-0.043,-0.012,-1.012
5,-0.043,-0.008,-1.020
6,-0.031,-0.008,-1.004
7,-0.012,0.020,-1.012
8,-0.023,0.008,-1.012
9,-0.039,-0.008,-1.012
10,-0.047,-0.004,-1.004
11,-0.031,0.008,-1.004
12,-0.016,0.000,-1.008
13,-0.023,0.012,-1.004
14,-0.031,0.004,-1.004
15,-0.035,0.000,-1.004
16,-0.035,0.004,-1.012
17,-0.023,0.000,-1.016
18,-0.027,0.004,-1.000
19,-0.035,0.000,-1.004
20,-0.047,-0.035,-1.008
21,-0.031,-0.016,-1.020
22,-0.020,0.016,-1.012
23,-0.031,0.008,-1.000
24,-0.031,0.008,-1.000
25,-0.031,0.012,-1.016
26,-0.031,0.016,-1.012
27,-0.043,-0.004,-1.020
28,-0.027,0.004,-1.008
29,-0.016,0.008,-1.008
30,-0.035,-0.004,-1.012
31,-0.043,-0.012,-1.016
32,-0.027,0.012,-1.016
33,-0.031,0.008,-1.004
34,-0.035,0.000,-1.012
35,-0.031,0.012,-1.004
36,-0.035,0.004,-1.016
37,-0.043,-0.008,-1.012
38,-0.035,0.004,-1.012
39,-0.027,0.012,-1.004
40,-0.047,0.039,-0.969
41,-0.043,0.000,-1.016
42,-0.039,0.000,-1.016
43,-0.027,0.000,-1.004
44,-0.023,0.000,-1.000
45,-0.027,0.008,-1.008
46,-0.047,-0.004,-1.027
47,-0.047,-0.004,-1.004
48,-0.031,0.004,-1.008
49,-0.020,0.004,-1.008
50,-0.020,0.008,-1.020
51,-0.031,-0.004,-1.016
52,-0.043,0.000,-1.016
53,-0.043,-0.008,-1.004
54,-0.016,0.016,-0.996
55,-0.020,0.012,-1.008
56,-0.035,-0.012,-1.012
57,-0.031,0.008,-1.012
58,-0.035,-0.008,-1.008
59,-0.035,0.008,-1.004
60,-0.031,0.035,-1.004
61,-0.027,0.000,-0.992
62,-0.023,0.000,-1.016
63,-0.043,-0.012,-1.004
64,-0.051,0.008,-1.008
65,-0.027,-0.012,-1.012
66,-0.016,-0.012,-1.008
67,-0.027,-0.004,-1.008
68,-0.043,-0.008,-1.012
69,-0.035,0.004,-1.012
70,-0.031,0.004,-1.008
71,-0.027,-0.004,-1.016
72,-0.027,0.000,-1.016
73,-0.039,-0.004,-1.008
74,-0.047,-0.004,-1.008
75,-0.031,-0.016,-1.012
76,-0.016,0.008,-1.012
77,-0.035,-0.012,-1.016
78,-0.039,-0.008,-1.012
79,-0.043,-0.004,-1.008
80,-0.035,-0.016,-0.988
81,-0.031,-0.023,-1.035
82,-0.020,0.004,-1.012
83,-0.039,0.000,-1.012
84,-0.047,-0.004,-1.000
85,-0.039,-0.016,-1.012
86,-0.027,-0.012,-1.008
87,-0.023,0.000,-1.008
88,-0.031,-0.012,-1.008
89,-0.035,0.004,-1.008
90,-0.043,-0.020,-1.016
91,-0.031,-0.016,-1.012
92,-0.016,-0.004,-1.012
93,-0.016,0.016,-1.008
94,-0.035,-0.012,-1.008
95,-0.055,-0.012,-1.012
96,-0.035,-0.012,-1.012
97,-0.016,-0.004,-1.008
98,-0.020,0.000,-0.992
99,-0.035,0.020,-1.039
100,0.012,0.090,-1.098
101,0.012,0.180,-1.176
102,-0.012,0.270,-1.168
103,-0.027,0.336,-1.047
104,-0.027,0.414,-0.961
105,0.008,0.445,-1.039
106,0.062,0.660,-1.227
107,-0.051,0.660,-1.230
108,0.004,0.715,-1.125
109,0.098,0.828,-0.887
110,0.004,0.730,-0.793
111,-0.047,0.777,-0.852
112,0.191,1.031,-1.051
113,0.086,0.910,-0.988
114,0.000,0.801,-0.832
115,0.109,0.695,-0.680
116,0.062,0.648,-0.383
117,-0.043,0.539,-0.898
118,-0.113,0.629,-1.062
119,-0.094,0.551,-0.977
120,-0.012,0.453,-0.926
121,0.047,0.277,-0.785
122,0.039,0.176,-0.879
123,-0.043,0.270,-0.973
124,-0.152,0.160,-1.133
125,0.043,0.262,-1.211
126,0.148,0.215,-1.184
127,-0.094,-0.039,-1.043
128,-0.082,-0.148,-0.945
129,0.086,0.016,-1.000
130,0.062,0.125,-1.242
131,0.023,0.113,-1.332
132,-0.012,0.316,-1.250
133,-0.152,0.121,-1.043
134,-0.219,0.047,-0.914
135,0.098,0.203,-0.941
136,0.090,0.379,-1.105
137,-0.074,0.453,-1.223
138,-0.012,0.555,-1.160
139,0.055,0.594,-1.004
140,-0.031,0.375,-0.898
141,-0.008,0.465,-0.844
142,0.066,0.578,-0.945
143,0.004,0.758,-1.090
144,-0.078,0.684,-1.066
145,-0.008,0.766,-0.953
146,0.016,0.664,-0.852
147,0.074,0.570,-0.793
148,-0.023,0.570,-0.824
149,0.105,0.617,-0.984
150,0.215,0.738,-1.059
151,0.184,0.570,-0.980
152,0.125,0.598,-0.922
153,-0.039,0.461,-0.418
154,-0.117,0.320,-0.914
155,0.035,0.500,-0.887
156,-0.145,0.578,-1.023
157,-0.164,0.277,-1.027
158,-0.125,0.562,-1.066
159,-0.145,0.199,-1.047
160,-0.137,0.184,-1.070
161,0.074,0.406,-1.105
162,-0.059,0.133,-1.098
163,0.031,0.246,-1.195
164,0.176,0.379,-1.102
165,-0.008,0.176,-1.090
166,0.074,0.164,-0.973
167,0.258,0.309,-0.953
168,0.105,0.359,-1.051
169,0.012,0.184,-1.078
170,0.082,0.566,-1.176
171,0.109,0.336,-1.070
172,-0.004,0.520,-0.984
173,-0.145,0.352,-0.891
174,-0.320,0.398,-1.051
175,-0.062,0.320,-1.062
176,0.027,0.785,-1.129
177,-0.090,0.418,-1.000
178,-0.051,0.660,-0.973
179,0.145,0.516,-0.844
180,0.035,0.559,-0.934
181,-0.133,0.340,-0.980
182,0.016,0.602,-1.098
183,0.125,0.609,-1.078
184,0.035,0.727,-0.996
185,-0.047,0.477,-0.879
186,-0.086,0.562,-0.832
187,-0.016,0.371,-0.848
188,-0.191,0.414,-0.867
189,-0.191,0.211,-0.953
190,-0.027,0.309,-0.934
191,0.117,0.258,-0.855
192,-0.117,-0.031,-0.809
193,-0.152,-0.027,-1.004
194,-0.117,-0.285,-0.984
195,0.000,-0.086,-0.977
196,0.270,-0.227,-0.973
197,0.309,-0.008,-0.988
198,-0.148,-0.543,-1.051
199,-0.363,-0.457,-1.117
200,-0.215,-0.496,-1.250
201,-0.180,-0.461,-1.102
202,-0.023,-0.469,-1.188
203,0.129,-0.250,-1.188
204,-0.031,-0.535,-1.156
205,-0.242,-0.422,-1.273
206,0.102,-0.289,-1.184
207,0.160,-0.164,-1.121
208,-0.113,-0.027,-1.176
209,-0.039,-0.301,-1.191
210,0.562,0.375,-1.043
211,0.352,0.234,-1.012
212,-0.535,-0.074,-0.863
213,-0.461,0.117,-0.930
214,-0.152,0.336,-0.984
215,-0.234,0.047,-0.957
216,0.320,0.457,-0.891
217,0.332,0.770,-0.973
218,-0.449,-0.039,-0.938
219,-0.480,0.180,-0.949
220,0.422,0.402,-0.898
221,0.051,0.492,-1.008
222,-0.281,-0.109,-0.785
223,0.117,0.660,-0.875
224,0.273,0.387,-0.836
225,-0.109,-0.039,-0.766
226,0.109,-0.012,-0.883
227,0.254,0.113,-1.105
228,-0.184,0.051,-1.039
229,-0.457,-0.133,-0.914
230,-0.160,0.098,-0.957
231,-0.109,-0.266,-0.941
232,-0.102,-0.312,-1.098
233,-0.008,-0.176,-0.984
234,0.254,0.102,-0.969
235,0.109,0.102,-1.000
236,-0.305,-0.445,-1.004
237,-0.070,-0.312,-1.207
238,0.066,-0.441,-1.148
239,-0.184,-0.316,-1.242
240,0.094,-0.438,-1.203
241,0.766,0.363,-1.125
242,-0.211,-0.344,-1.121
243,-0.645,-0.652,-1.156
244,0.027,0.109,-1.207
245,-0.164,-0.121,-1.090
246,-0.406,-0.180,-0.969
247,0.395,0.242,-0.941
248,0.062,0.066,-1.172
249,-0.211,-0.406,-1.172
250,0.371,0.309,-1.160
251,0.543,0.387,-0.895
252,-0.320,0.012,-0.852
253,-0.371,0.070,-0.812
254,0.066,0.383,-0.867
255,0.059,0.223,-0.891
256,-0.074,0.281,-0.809
257,-0.246,0.188,-0.812
258,-0.148,-0.016,-0.801
259,-0.016,0.070,-0.977
260,0.379,0.062,-1.086
261,0.086,0.281,-1.109
262,-0.332,-0.133,-0.992
263,-0.305,-0.109,-0.852
264,0.082,0.043,-0.969
265,0.055,-0.164,-1.047
266,-0.176,-0.117,-1.129
267,-0.027,-0.039,-1.059
268,-0.031,0.109,-0.977
269,-0.012,-0.246,-0.934
270,0.148,-0.133,-1.059
271,0.156,-0.289,-1.105
272,0.133,-0.066,-1.102
273,-0.234,-0.207,-1.039
274,-0.262,-0.137,-1.078
275,0.012,-0.168,-1.098
276,0.090,-0.223,-1.055
277,0.055,-0.020,-1.074
278,0.195,0.113,-0.879
279,-0.332,0.133,-0.961
280,-0.504,-0.414,-1.055
281,0.188,-0.008,-1.172
282,0.516,0.098,-1.086
283,-0.094,0.020,-1.004
284,-0.223,-0.105,-0.988
285,-0.027,0.223,-0.988
286,-0.172,-0.176,-1.121
287,0.234,0.000,-0.973
288,0.230,0.363,-0.910
289,-0.410,-0.094,-0.898
290,-0.406,0.020,-0.984
291,0.367,0.188,-0.918
292,0.121,0.227,-1.125
293,-0.172,-0.223,-1.082
294,0.117,0.172,-0.922
295,0.266,0.066,-0.859
296,-0.258,-0.016,-1.043
297,-0.168,-0.387,-1.078
298,0.293,0.328,-1.133
299,0.168,0.090,-0.984
300,-0.340,-0.133,-0.840
301,-0.152,0.152,-0.934
302,0.109,0.137,-1.035
303,-0.258,-0.113,-1.090
