Sample,X,Y,Z
0,0.320,-0.152,-1.047
1,-0.027,-0.004,-1.004
2,-0.031,0.000,-1.008
3,-0.043,-0.004,-1.004
4,-0.031,0.023,-1.004
5,-0.027,0.000,-1.008
6,-0.031,0.000,-1.008
7,-0.027,0.000,-1.008
8,-0.027,0.027,-1.004
9,-0.051,-0.004,-1.004
10,-0.051,-0.012,-1.008
11,-0.016,0.008,-1.008
12,-0.027,0.012,-1.004
13,-0.047,-0.020,-0.996
14,-0.031,0.004,-1.012
15,-0.020,0.000,-1.012
16,-0.043,-0.004,-1.012
17,-0.035,-0.016,-0.996
18,-0.004,0.012,-0.996
19,-0.035,-0.004,-1.008
20,-0.051,-0.039,-1.016
21,-0.020,0.020,-1.004
22,-0.027,0.000,-0.996
23,-0.043,-0.012,-1.004
24,-0.016,0.016,-1.004
25,-0.023,0.004,-1.012
26,-0.047,-0.004,-1.008
27,-0.031,0.012,-1.008
28,-0.031,0.008,-1.016
29,-0.035,-0.016,-1.020
30,-0.016,0.008,-1.012
31,-0.043,-0.008,-1.004
32,-0.035,0.000,-0.492
33,-0.016,0.023,-1.004
34,-0.047,-0.012,-1.012
35,-0.051,-0.004,-1.008
36,-0.027,0.012,-1.012
37,-0.027,0.008,-1.004
38,-0.031,0.012,-1.000
39,-0.039,0.000,-1.012
40,-0.023,0.031,-1.012
41,-0.027,0.004,-1.016
42,-0.031,-0.012,-1.012
43,-0.031,0.020,-1.008
44,-0.035,0.004,-1.004
45,-0.035,-0.008,-1.004
46,-0.031,0.000,-1.004
47,-0.031,0.000,-1.012
48,-0.027,0.000,-1.004
49,-0.035,0.012,-1.000
50,-0.031,0.000,-1.004
51,-0.043,-0.004,-1.004
52,-0.039,-0.004,-1.012
53,-0.020,-0.004,-1.016
54,-0.023,0.016,-1.012
55,-0.047,0.012,-0.996
56,-0.051,-0.004,-1.012
57,-0.027,-0.004,-1.004
58,-0.031,0.008,-1.020
59,-0.023,0.000,-1.012
60,-0.035,0.020,-1.008
61,-0.047,0.023,-0.996
62,-0.031,-0.004,-1.008
63,-0.016,0.016,-1.012
