Sample,X,Y,Z
0,0.160,-0.430,-1.074
1,-0.027,-0.008,-1.031
2,-0.031,-0.004,-1.016
3,-0.043,-0.004,-1.008
4,-0.031,0.000,-0.992
5,-0.035,0.000,-1.012
6,-0.020,-0.012,-1.008
7,-0.027,-0.004,-1.016
8,-0.035,-0.008,-1.008
9,-0.039,-0.004,-1.004
10,-0.043,0.000,-1.008
11,-0.031,-0.004,-1.027
12,-0.023,-0.016,-1.016
13,-0.039,0.008,-1.004
14,-0.035,-0.004,-1.008
15,-0.043,0.000,-1.008
16,-0.031,-0.004,-1.012
17,-0.031,-0.004,-1.012
18,-0.031,-0.020,-1.008
19,-0.031,0.008,-1.008
20,-0.035,-0.008,-1.000
21,-0.031,0.039,-0.992
22,-0.031,-0.020,-1.008
23,-0.023,-0.020,-1.020
24,-0.027,-0.004,-1.012
25,-0.043,-0.012,-1.012
26,-0.043,-0.008,-1.008
27,-0.027,-0.008,-1.012
28,-0.012,-0.012,-1.012
29,-0.031,0.000,-1.008
30,-0.055,-0.020,-1.012
31,-0.031,0.000,-1.004
32,-0.023,0.004,-1.008
33,-0.031,-0.016,-1.016
34,-0.031,-0.008,-1.020
35,-0.023,0.012,-1.016
36,-0.047,-0.016,-1.000
37,-0.035,-0.016,-1.008
38,-0.016,-0.004,-1.004
39,-0.039,-0.012,-1.004
40,-0.035,0.000,-1.031
41,-0.043,0.008,-1.012
42,-0.020,0.004,-1.016
43,-0.027,-0.012,-1.008
44,-0.039,0.000,-1.020
45,-0.031,-0.012,-1.016
46,-0.043,-0.008,-1.016
47,-0.035,-0.004,-1.012
48,-0.020,0.004,-1.008
49,-0.035,-0.004,-1.012
50,-0.035,-0.008,-1.008
51,-0.027,-0.012,-1.012
52,-0.023,0.004,-1.008
53,-0.043,-0.016,-1.004
54,-0.031,-0.004,-1.008
55,-0.035,-0.004,-1.008
56,-0.043,-0.012,-1.004
57,-0.027,-0.004,-1.020
58,-0.016,0.004,-1.008
59,-0.039,-0.008,-1.008
60,-0.035,-0.027,-1.023
61,-0.023,0.008,-1.016
62,-0.035,-0.016,-1.020
63,-0.035,-0.004,-1.016
64,-0.023,0.008,-0.996
65,-0.031,0.000,-1.008
66,-0.043,-0.008,-1.012
67,-0.039,-0.008,-1.020
68,-0.027,0.000,-1.016
69,-0.031,0.000,-1.008
70,-0.035,-0.008,-1.012
71,-0.039,-0.016,-1.012
72,-0.031,-0.004,-1.016
73,-0.023,-0.004,-1.016
74,-0.031,0.008,-1.012
75,-0.035,-0.004,-1.004
76,-0.039,-0.016,-1.004
77,-0.031,-0.004,-1.016
78,-0.023,-0.004,-1.023
79,-0.027,0.004,-1.008
80,-0.031,0.004,-1.000
81,-0.035,0.008,-1.020
82,-0.035,-0.012,-1.012
83,-0.020,0.012,-1.020
84,-0.027,-0.004,-1.012
85,-0.039,0.008,-1.008
86,-0.047,-0.012,-1.008
87,-0.023,-0.016,-1.020
88,-0.016,-0.012,-1.008
89,-0.027,0.000,-1.008
90,-0.047,-0.012,-1.012
91,-0.039,-0.004,-1.008
92,-0.023,-0.008,-1.016
93,-0.020,-0.020,-1.012
94,-0.027,0.008,-1.008
95,-0.039,0.000,-1.000
96,-0.039,0.000,-1.000
97,-0.047,-0.012,-1.016
98,-0.027,-0.008,-1.016
99,-0.012,0.004,-1.020
100,-0.020,0.008,-1.004
101,-0.051,-0.020,-1.023
102,-0.039,-0.031,-1.016
103,-0.008,0.004,-0.992
104,-0.043,0.023,-1.047
105,0.012,0.023,-1.051
106,0.016,0.086,-1.020
107,-0.039,0.074,-0.988
108,-0.078,0.012,-0.984
109,-0.020,0.070,-1.000
110,0.047,0.098,-1.043
111,-0.016,0.133,-1.082
112,-0.062,0.121,-1.055
113,-0.027,0.207,-1.031
114,-0.027,0.176,-1.035
115,-0.016,0.238,-1.070
116,0.023,0.359,-1.129
117,-0.012,0.426,-1.121
118,-0.062,0.453,-1.008
119,-0.016,0.445,-0.895
120,0.000,0.320,-0.945
121,-0.059,0.410,-0.992
122,0.082,0.555,-1.082
123,0.043,0.641,-1.125
124,0.000,0.531,-0.988
125,0.148,0.418,-0.785
126,0.086,0.449,-0.703
127,-0.152,0.215,-0.879
128,0.016,0.543,-1.227
129,0.098,0.574,-1.262
130,-0.078,0.512,-1.004
131,-0.043,0.332,-0.691
132,0.031,0.230,-0.703
133,-0.027,0.238,-1.039
134,-0.027,0.344,-1.328
135,0.031,0.562,-1.309
136,-0.023,0.500,-1.047
137,-0.051,0.246,-0.734
138,-0.012,0.164,-0.758
139,0.043,0.191,-1.051
140,-0.016,0.301,-1.359
141,0.180,0.660,-1.340
142,0.176,0.633,-1.059
143,-0.141,0.246,-0.727
144,-0.109,0.102,-0.691
145,0.133,0.293,-0.949
146,-0.020,0.355,-1.254
147,-0.066,0.520,-1.344
148,0.023,0.676,-1.156
149,-0.062,0.398,-0.852
150,-0.160,0.094,-0.703
151,0.109,0.305,-0.867
152,0.062,0.461,-1.117
153,-0.133,0.516,-1.258
154,0.098,0.672,-1.168
155,0.211,0.574,-0.922
156,-0.184,0.195,-0.801
157,-0.125,0.188,-0.863
158,0.090,0.461,-1.051
159,0.059,0.715,-1.215
160,-0.141,0.473,-1.117
161,0.070,0.609,-0.973
162,-0.016,0.395,-0.852
163,-0.094,0.246,-0.871
164,-0.012,0.332,-0.973
165,0.266,0.660,-1.094
166,0.195,0.527,-1.086
167,0.082,0.457,-1.008
168,0.168,0.426,-0.934
169,-0.082,0.238,-0.914
170,-0.270,0.180,-1.031
171,0.156,0.531,-1.145
172,0.000,0.590,-1.102
173,-0.328,0.176,-1.004
174,0.066,0.602,-1.000
175,-0.043,0.301,-0.973
176,-0.270,0.254,-1.078
177,0.125,0.535,-1.000
178,0.051,0.598,-0.930
179,-0.055,0.328,-0.992
180,0.234,0.578,-1.012
181,0.094,0.516,-1.078
182,-0.008,0.188,-0.938
183,0.125,0.598,-1.012
184,0.238,0.309,-1.051
185,0.148,0.332,-1.059
186,0.086,0.531,-1.094
187,-0.168,0.297,-1.090
188,-0.285,0.434,-1.082
189,0.023,0.445,-0.961
190,-0.195,0.379,-0.918
191,-0.273,0.285,-0.934
192,0.086,0.531,-0.992
193,-0.051,0.562,-1.043
194,-0.156,0.305,-0.992
195,0.055,0.473,-0.961
196,0.203,0.215,-0.941
197,0.094,0.160,-0.953
198,0.082,0.160,-1.094
199,0.137,0.453,-1.160
200,0.023,0.312,-1.133
201,-0.004,0.402,-0.930
202,-0.125,0.242,-0.863
203,-0.340,-0.004,-0.832
204,0.035,0.289,-1.066
205,-0.020,0.324,-1.027
206,-0.324,0.266,-1.043
207,-0.289,0.023,-0.996
208,0.090,0.293,-1.023
209,-0.117,-0.168,-1.066
210,-0.047,0.379,-1.141
211,0.410,0.383,-1.008
212,0.109,0.375,-0.785
213,-0.105,-0.102,-0.789
214,0.078,0.156,-1.008
215,0.113,-0.211,-1.207
216,0.012,-0.062,-1.133
217,0.047,0.098,-0.941
218,-0.344,0.020,-0.930
219,-0.227,-0.305,-1.043
220,0.191,0.105,-1.184
221,-0.047,-0.105,-1.137
222,-0.297,-0.051,-0.953
223,-0.227,0.090,-0.859
224,0.012,-0.082,-0.965
225,0.066,-0.137,-1.164
226,0.219,-0.066,-1.262
227,0.043,0.125,-0.980
228,-0.184,0.027,-0.867
229,-0.117,-0.129,-0.801
230,-0.090,-0.016,-1.156
231,0.168,-0.113,-1.230
232,-0.039,0.125,-1.082
233,-0.188,0.188,-0.812
234,-0.297,-0.070,-0.797
235,-0.016,0.023,-1.043
236,0.078,-0.141,-1.242
237,0.312,0.281,-1.230
238,-0.094,0.258,-0.793
239,-0.148,0.062,-0.691
240,-0.004,0.105,-0.863
241,0.086,0.059,-1.098
242,-0.121,-0.234,-1.180
243,0.191,0.312,-1.133
244,0.098,0.133,-0.875
245,-0.473,-0.145,-0.965
246,-0.156,-0.379,-1.023
247,0.270,0.266,-1.262
248,-0.043,0.000,-1.172
249,-0.453,-0.043,-0.781
250,-0.105,0.273,-0.773
251,0.043,-0.137,-0.898
252,-0.234,-0.141,-1.191
253,0.090,-0.113,-1.168
254,0.375,0.406,-0.973
255,-0.273,-0.223,-0.840
256,-0.156,-0.148,-0.977
257,0.344,-0.129,-1.184
258,0.148,-0.141,-1.133
259,-0.277,-0.055,-1.086
260,-0.047,-0.008,-0.902
261,-0.043,0.188,-0.883
262,-0.184,-0.277,-0.957
263,-0.008,-0.047,-1.191
264,0.102,-0.109,-1.090
265,-0.094,0.074,-1.105
266,0.000,0.000,-0.984
267,0.039,0.059,-0.945
268,-0.078,-0.180,-1.035
269,0.133,-0.039,-1.051
270,0.223,0.254,-1.016
271,-0.156,-0.078,-0.938
272,-0.293,0.027,-0.984
273,-0.141,-0.055,-0.965
274,-0.043,-0.008,-1.020
275,0.117,0.125,-1.008
276,-0.105,0.035,-0.984
277,-0.113,-0.031,-1.023
278,-0.043,0.043,-1.105
279,-0.195,-0.223,-1.121
280,-0.105,-0.230,-1.000
281,0.363,0.391,-0.945
282,-0.016,-0.090,-0.875
283,-0.328,-0.004,-1.004
284,0.055,-0.109,-1.070
285,0.266,0.180,-1.043
286,-0.078,-0.262,-0.883
287,-0.051,-0.105,-0.910
288,0.172,0.062,-1.031
289,-0.094,-0.055,-1.117
290,-0.297,-0.227,-1.090
291,-0.012,-0.008,-1.000
292,0.051,-0.055,-0.957
293,-0.230,-0.270,-1.008
294,-0.027,0.109,-1.082
295,-0.062,-0.145,-0.957
296,0.008,0.176,-0.992
297,0.035,-0.133,-0.918
298,-0.008,0.082,-1.020
299,-0.027,-0.363,-0.973
300,0.184,0.086,-1.121
301,0.211,-0.219,-0.992
302,-0.180,0.102,-1.125
303,-0.129,-0.195,-1.113
304,0.016,0.207,-1.012
305,-0.105,-0.121,-0.961
306,-0.102,-0.039,-0.953
307,-0.098,0.113,-1.035
308,-0.141,0.070,-1.035
309,-0.156,0.113,-1.039
310,0.094,0.020,-0.934
311,0.078,0.164,-1.059
312,0.090,-0.129,-0.988
313,-0.012,-0.012,-0.992
314,0.066,0.000,-0.926
315,0.031,0.047,-1.031
316,0.074,0.082,-1.066
317,-0.023,0.094,-1.031
318,-0.203,0.039,-0.957
319,-0.160,-0.070,-0.820
320,-0.031,0.090,-0.945
321,0.008,-0.082,-1.102
322,-0.238,0.020,-1.246
323,0.219,0.117,-1.020
324,0.004,0.176,-0.879
325,-0.219,-0.281,-0.852
326,-0.102,-0.133,-1.016
327,0.199,0.074,-1.137
328,-0.102,-0.082,-1.035
329,-0.293,0.129,-0.941
330,-0.207,-0.141,-0.863
331,-0.199,-0.016,-0.930
332,-0.199,-0.016,-0.930
333,-0.027,-0.188,-1.125
334,-0.004,-0.125,-1.117
335,0.070,0.008,-1.102
336,0.070,0.031,-1.074
337,-0.184,-0.109,-1.078
338,-0.215,-0.227,-1.117
339,0.031,-0.008,-1.109
340,0.059,0.102,-0.965
341,-0.254,-0.121,-0.457
342,0.035,0.273,-0.918
343,0.062,0.086,-0.969
344,-0.012,-0.012,-1.008
345,0.230,-0.023,-0.926
346,0.254,0.250,-0.961
347,-0.109,-0.215,-1.047
348,-0.301,-0.020,-1.168
349,-0.035,0.078,-1.230
350,-0.074,0.113,-1.023
351,-0.234,0.164,-0.852
352,-0.273,-0.031,-0.809
353,-0.195,0.188,-0.938
354,-0.164,-0.043,-0.945
355,0.195,0.336,-1.078
356,0.219,0.008,-0.910
357,-0.094,0.059,-1.035
358,0.023,-0.355,-0.996
359,0.031,0.094,-1.223
360,0.129,-0.223,-1.055
361,0.004,0.180,-1.039
362,-0.191,0.043,-0.879
363,-0.340,0.016,-0.941
364,-0.172,-0.094,-0.973
365,-0.074,-0.074,-1.023
366,0.031,0.020,-1.059
367,0.109,0.055,-0.922
368,-0.102,0.133,-1.062
369,-0.137,-0.289,-1.051
370,0.066,-0.016,-1.070
371,0.176,-0.211,-0.980
372,-0.062,0.035,-1.098
373,-0.023,0.008,-1.027
374,-0.094,0.309,-1.047
375,-0.258,-0.176,-0.891
376,-0.086,-0.121,-0.883
377,0.184,-0.008,-1.055
378,-0.148,-0.047,-1.137
379,-0.277,0.113,-1.215
380,-0.012,0.148,-0.883
381,-0.098,0.043,-0.863
382,0.055,-0.207,-0.844
383,0.223,0.055,-1.035
384,-0.121,0.039,-1.164
385,-0.324,0.113,-1.094
386,-0.109,0.047,-0.914
387,0.086,0.164,-0.859
388,-0.074,-0.262,-0.930
389,-0.172,-0.059,-1.031
390,-0.133,0.074,-1.098
391,-0.031,0.055,-1.066
392,0.098,0.164,-0.969
393,0.098,-0.148,-0.957
394,-0.172,-0.203,-1.125
395,0.043,-0.176,-1.160
396,0.188,0.277,-1.035
397,-0.059,-0.051,-0.840
398,-0.215,-0.039,-0.922
399,0.215,-0.039,-0.988
400,-0.117,0.008,-1.055
401,-0.484,-0.141,-1.102
402,0.008,-0.102,-0.922
403,0.312,0.379,-0.988
404,0.035,-0.332,-0.996
405,-0.297,-0.062,-1.180
406,-0.035,-0.223,-1.199
407,0.148,0.250,-1.066
408,-0.172,-0.152,-0.812
409,-0.117,0.047,-0.930
410,0.164,0.043,-0.973
411,0.039,0.125,-1.031
412,0.039,0.125,-1.031
413,-0.254,0.066,-1.082
414,-0.109,-0.098,-0.906
415,0.055,0.078,-0.891
416,0.051,-0.043,-1.078
417,0.000,-0.129,-1.148
418,-0.137,-0.023,-1.191
419,-0.215,-0.027,-1.051
420,0.027,-0.012,-0.891
421,0.004,0.043,-0.883
422,-0.023,-0.121,-1.004
423,0.016,0.043,-1.039
424,-0.059,0.125,-1.004
425,0.012,-0.047,-0.898
426,0.125,0.121,-0.984
427,0.105,-0.066,-1.102
428,-0.039,-0.113,-1.148
429,0.086,-0.012,-1.059
430,-0.051,0.133,-0.961
431,-0.234,-0.250,-0.910
432,0.168,0.098,-0.898
433,0.059,0.078,-1.047
434,-0.359,-0.336,-0.984
435,-0.223,0.117,-1.043
436,0.250,0.078,-0.938
437,-0.109,-0.078,-0.961
438,0.113,-0.230,-0.996
439,0.316,0.293,-1.102
440,-0.090,-0.203,-1.125
441,-0.391,-0.176,-1.137
442,0.168,-0.020,-1.027
443,0.156,0.059,-0.910
444,-0.379,-0.227,-0.973
445,-0.152,-0.043,-1.039
446,-0.059,0.125,-1.039
447,-0.035,0.035,-0.980
448,0.043,0.043,-0.938
