Sample,X,Y,Z
0,0.086,-0.148,-1.078
1,-0.047,-0.027,-0.977
2,-0.020,0.004,-1.020
3,-0.023,-0.004,-1.008
4,-0.023,0.008,-1.004
5,-0.027,0.016,-0.996
6,-0.078,-0.027,-1.012
7,-0.047,-0.016,-1.020
8,0.000,0.016,-1.023
9,-0.023,0.008,-0.996
10,-0.051,0.000,-1.004
11,-0.055,-0.008,-1.008
12,-0.035,-0.008,-1.016
13,-0.027,0.000,-1.016
14,-0.012,0.000,-1.004
15,-0.043,0.008,-0.992
16,-0.062,-0.027,-1.004
17,-0.062,-0.027,-1.004
18,-0.027,0.000,-1.020
19,-0.012,-0.008,-1.012
20,-0.031,0.012,-1.008
21,-0.031,-0.031,-1.020
22,-0.051,-0.008,-1.004
23,-0.035,-0.012,-1.008
24,-0.031,0.000,-1.016
25,-0.031,0.004,-1.004
26,-0.031,0.012,-1.012
27,-0.043,-0.016,-1.004
28,-0.043,0.000,-1.008
29,-0.039,-0.016,-1.016
30,-0.035,0.000,-1.016
31,-0.027,-0.008,-1.004
32,-0.047,0.000,-1.020
33,-0.043,-0.004,-1.008
34,-0.035,0.008,-1.008
35,-0.031,-0.008,-1.008
36,-0.039,0.004,-1.020
37,-0.035,0.000,-1.016
38,-0.043,0.004,-1.004
39,-0.027,-0.012,-1.008
40,-0.012,0.070,-1.031
41,-0.047,-0.020,-1.012
42,-0.039,-0.008,-1.008
43,-0.020,0.012,-1.008
44,-0.043,-0.004,-1.012
45,-0.027,0.000,-1.012
46,-0.039,-0.008,-1.012
47,-0.043,-0.004,-1.000
48,-0.027,0.008,-1.012
49,-0.016,0.016,-1.012
50,-0.035,0.000,-1.008
51,-0.055,-0.016,-1.008
52,-0.031,-0.004,-1.012
53,-0.031,0.008,-1.008
54,-0.043,-0.016,-1.012
55,-0.031,0.000,-1.008
56,-0.027,0.004,-1.004
57,-0.043,-0.008,-1.004
58,-0.039,-0.004,-1.008
59,-0.031,0.004,-1.012
60,-0.016,0.051,-1.023
61,-0.031,0.000,-1.008
62,-0.027,0.000,-1.004
63,-0.047,-0.012,-1.008
64,-0.035,-0.012,-1.016
65,-0.016,0.004,-1.016
66,-0.023,0.012,-1.012
