Sample,X,Y,Z
0,0.312,0.055,-0.965
1,-0.020,-0.012,-1.020
2,-0.027,-0.020,-1.020
3,-0.047,0.000,-1.004
4,-0.047,0.004,-1.004
5,-0.039,-0.012,-1.004
6,-0.020,-0.016,-1.016
7,-0.023,-0.004,-1.016
8,-0.031,-0.004,-1.012
9,-0.039,-0.008,-1.004
10,-0.027,-0.004,-1.008
11,-0.047,-0.020,-1.008
12,-0.035,-0.023,-1.012
13,-0.027,-0.016,-1.004
14,-0.031,-0.008,-1.004
15,-0.039,-0.004,-1.004
16,-0.043,-0.008,-1.000
17,-0.031,-0.008,-1.004
18,-0.039,-0.016,-1.016
19,-0.023,-0.012,-1.016
20,-0.016,0.020,-1.012
21,-0.051,0.012,-0.984
22,-0.039,-0.004,-0.996
23,-0.027,-0.016,-1.004
24,-0.023,-0.020,-1.023
25,-0.023,-0.004,-1.020
26,-0.035,0.008,-1.000
27,-0.047,0.004,-0.996
28,-0.047,-0.020,-1.008
29,-0.031,-0.023,-1.020
30,-0.016,0.000,-1.020
31,-0.039,0.000,-0.992
32,-0.051,-0.004,-1.000
33,-0.035,-0.008,-1.008
34,-0.023,-0.023,-1.016
35,-0.020,-0.004,-1.016
36,-0.020,-0.008,-0.996
37,-0.059,-0.016,-0.996
38,-0.043,-0.020,-1.016
39,-0.023,-0.020,-1.023
40,-0.023,-0.020,-0.996
41,-0.047,0.004,-1.000
42,-0.043,0.000,-0.996
43,-0.035,-0.020,-1.012
44,-0.020,-0.004,-1.020
45,-0.023,-0.012,-1.008
46,-0.043,-0.008,-1.000
47,-0.047,-0.016,-1.000
48,-0.031,-0.004,-1.020
49,-0.020,0.000,-1.016
50,-0.031,-0.004,-1.004
51,-0.055,-0.004,-1.000
52,-0.043,-0.012,-0.992
53,-0.027,-0.012,-1.008
54,-0.020,-0.008,-1.023
55,-0.023,0.004,-1.016
56,-0.047,-0.008,-1.000
57,-0.066,-0.008,-0.996
58,-0.031,-0.004,-1.000
59,0.000,0.000,-1.023
60,-0.027,0.004,-1.000
61,-0.062,0.000,-1.000
62,-0.059,-0.008,-1.004
63,-0.031,-0.008,-1.004
64,-0.023,-0.023,-1.020
65,-0.008,-0.008,-1.012
66,-0.047,-0.008,-1.004
67,-0.059,-0.016,-0.996
68,-0.035,0.000,-1.012
69,-0.031,-0.004,-1.016
70,-0.023,-0.016,-1.012
71,-0.043,-0.004,-1.000
72,-0.043,-0.020,-1.000
73,-0.047,0.004,-1.012
74,-0.039,-0.020,-1.016
75,-0.016,-0.008,-1.016
76,-0.023,-0.008,-1.000
77,-0.059,-0.023,-1.000
78,-0.039,-0.004,-1.008
79,-0.023,-0.012,-1.023
80,-0.039,0.012,-0.988
81,-0.020,-0.012,-1.012
82,-0.035,0.008,-0.996
83,-0.039,-0.004,-1.004
84,-0.043,-0.016,-1.020
85,-0.039,-0.004,-1.016
86,-0.023,0.000,-1.008
87,-0.027,0.004,-1.000
88,-0.039,-0.008,-1.004
89,-0.047,-0.016,-1.016
90,-0.035,-0.016,-1.023
91,-0.027,0.000,-1.027
92,-0.031,0.008,-1.000
93,-0.047,-0.008,-1.000
94,-0.043,-0.008,-1.008
95,-0.031,-0.016,-1.020
96,-0.016,-0.012,-1.016
97,-0.031,0.008,-1.016
98,-0.047,0.000,-0.992
99,-0.047,-0.012,-1.000
100,-0.031,-0.051,-1.008
101,-0.016,0.023,-1.059
102,0.016,0.047,-1.051
103,0.023,0.094,-1.023
104,-0.016,0.121,-1.020
105,-0.070,0.047,-0.988
106,-0.023,0.090,-1.000
107,0.031,0.145,-1.012
108,-0.023,0.176,-1.070
109,-0.055,0.168,-1.078
110,0.008,0.293,-1.055
111,-0.016,0.250,-0.973
112,-0.090,0.238,-0.965
113,-0.039,0.254,-1.023
114,0.027,0.355,-1.086
115,-0.031,0.391,-1.059
116,-0.086,0.395,-0.957
117,-0.039,0.270,-0.992
118,0.020,0.398,-1.047
119,0.055,0.402,-1.117
120,0.074,0.574,-1.098
121,0.125,0.516,-0.973
122,0.102,0.531,-0.809
123,-0.102,0.375,-0.793
124,-0.098,0.352,-0.996
125,0.109,0.543,-1.219
126,0.016,0.418,-1.105
127,-0.043,0.531,-0.871
128,-0.043,0.340,-0.715
129,-0.098,0.242,-0.852
130,0.016,0.297,-1.129
131,0.039,0.359,-1.254
132,-0.027,0.414,-1.098
133,0.016,0.379,-0.906
134,0.039,0.156,-0.730
135,-0.031,0.168,-0.969
136,-0.004,0.141,-1.184
137,0.031,0.363,-1.305
138,0.129,0.469,-1.191
139,-0.059,0.297,-0.992
140,-0.039,0.184,-0.809
141,0.078,0.332,-0.895
142,0.008,0.320,-1.094
143,-0.078,0.418,-1.223
144,-0.020,0.523,-1.129
145,-0.047,0.547,-1.035
146,-0.152,0.246,-0.871
147,-0.016,0.320,-0.812
148,0.184,0.551,-0.984
149,-0.016,0.508,-1.121
150,0.004,0.621,-1.148
151,0.129,0.613,-1.031
152,0.012,0.359,-0.895
153,-0.070,0.297,-0.875
154,0.070,0.516,-0.965
155,-0.016,0.512,-1.098
156,-0.023,0.668,-1.145
157,0.000,0.555,-1.004
158,-0.066,0.422,-0.871
159,-0.074,0.355,-0.816
160,-0.008,0.309,-0.941
161,0.012,0.516,-1.066
162,0.047,0.539,-1.133
163,0.180,0.508,-1.051
164,0.137,0.348,-0.918
165,0.078,0.309,-0.895
166,0.090,0.320,-0.965
167,-0.023,0.410,-1.074
168,-0.008,0.336,-1.094
169,0.031,0.539,-1.152
170,-0.188,0.238,-1.023
171,-0.207,0.258,-0.980
172,0.051,0.422,-0.969
173,0.051,0.422,-0.969
174,-0.074,0.367,-1.078
175,-0.074,0.383,-1.078
176,0.090,0.543,-1.055
177,-0.090,0.406,-0.969
178,-0.109,0.367,-1.004
179,0.215,0.398,-0.926
180,0.074,0.648,-1.016
181,0.023,0.141,-0.984
182,0.328,0.633,-1.066
183,0.254,0.465,-1.105
184,-0.094,0.230,-1.094
185,-0.016,0.508,-1.027
186,0.031,0.562,-1.012
187,-0.168,0.348,-0.910
188,-0.145,0.504,-0.973
189,-0.137,0.465,-1.035
190,-0.094,0.367,-0.988
191,-0.031,0.637,-0.941
192,-0.250,0.344,-0.938
193,-0.008,0.277,-0.848
194,0.129,0.453,-0.977
195,0.047,0.051,-1.070
196,-0.035,0.238,-1.113
197,0.180,0.277,-1.078
198,0.078,0.266,-1.027
199,0.180,0.324,-0.898
200,-0.004,0.215,-0.855
201,-0.316,-0.039,-1.082
202,-0.141,0.012,-1.207
203,0.301,0.492,-1.207
204,-0.148,0.297,-0.973
205,-0.457,0.164,-0.832
206,-0.066,0.086,-0.875
207,-0.047,0.137,-1.117
208,-0.055,-0.207,-1.156
209,0.148,0.449,-1.043
210,0.051,0.246,-0.953
211,-0.066,0.277,-0.840
212,0.047,0.039,-0.770
213,-0.234,-0.047,-1.047
214,0.184,-0.434,-1.090
215,0.352,0.449,-1.074
216,0.016,0.168,-1.117
217,-0.449,-0.078,-0.984
218,-0.031,0.023,-0.973
219,-0.098,-0.297,-1.020
220,-0.125,-0.285,-1.191
221,0.070,0.039,-1.117
222,0.070,0.461,-1.090
223,-0.191,-0.016,-0.891
224,-0.141,0.051,-0.824
225,-0.078,-0.133,-1.020
226,0.004,-0.219,-1.113
227,0.188,0.309,-1.152
228,0.156,0.301,-0.895
229,-0.430,0.168,-0.844
230,-0.262,-0.215,-0.949
231,0.227,-0.035,-1.074
232,0.223,-0.035,-1.074
233,0.145,-0.180,-1.082
234,-0.102,0.215,-1.043
235,-0.059,0.188,-0.969
236,0.031,0.293,-0.906
237,-0.234,-0.113,-0.965
238,-0.062,-0.254,-0.980
239,0.184,0.051,-0.973
240,0.125,0.156,-0.930
241,-0.137,0.191,-1.020
242,-0.047,-0.055,-0.949
243,-0.090,-0.051,-1.102
244,-0.043,-0.418,-1.109
245,0.125,0.145,-1.164
246,-0.137,-0.141,-1.035
247,-0.375,0.180,-0.961
248,-0.047,-0.137,-0.910
249,0.055,0.027,-0.973
250,-0.086,-0.254,-1.172
251,0.199,-0.020,-1.070
252,-0.070,0.281,-1.051
253,-0.148,-0.219,-0.953
254,0.102,0.062,-1.012
255,0.184,-0.230,-1.000
256,0.023,-0.023,-1.082
257,-0.047,-0.027,-1.078
258,-0.031,0.180,-0.867
259,-0.355,0.000,-0.910
260,-0.309,-0.332,-0.965
261,0.125,0.062,-1.066
262,0.160,0.012,-1.074
263,-0.117,0.141,-1.094
264,0.055,0.109,-0.996
265,0.000,0.098,-0.977
266,-0.023,-0.301,-1.016
267,0.160,-0.082,-1.070
268,0.215,0.125,-0.945
269,-0.129,0.137,-1.012
270,-0.090,0.133,-0.984
271,-0.094,0.016,-0.914
272,-0.250,-0.160,-0.996
273,0.121,-0.121,-0.918
274,-0.004,0.301,-0.953
275,-0.488,-0.109,-1.070
276,-0.293,0.000,-1.164
277,0.426,0.098,-1.098
278,-0.012,-0.141,-1.012
279,-0.121,-0.383,-0.984
280,0.270,-0.008,-0.980
281,0.051,0.234,-1.023
282,-0.215,-0.320,-1.059
283,0.141,0.199,-1.023
284,0.148,-0.082,-0.891
285,-0.391,-0.176,-0.914
286,-0.152,-0.246,-0.973
287,0.227,0.277,-1.078
288,-0.152,-0.207,-1.117
