Sample,X,Y,Z
0,0.324,0.066,-0.961
1,-0.031,0.008,-1.000
2,-0.047,-0.008,-1.004
3,-0.031,-0.004,-1.020
4,-0.016,-0.004,-1.012
5,-0.020,0.008,-1.008
6,-0.059,-0.020,-0.996
7,-0.043,0.000,-1.020
8,-0.027,0.000,-1.008
9,-0.035,-0.008,-1.004
10,-0.031,0.000,-1.008
11,-0.031,0.000,-1.000
12,-0.043,-0.012,-1.012
13,-0.047,-0.016,-1.016
14,-0.023,-0.004,-1.016
15,-0.027,0.008,-1.004
16,-0.043,-0.004,-1.008
17,-0.047,0.008,-1.008
18,-0.043,-0.020,-1.000
19,-0.027,0.008,-1.004
20,-0.008,-0.035,-1.012
21,-0.051,-0.004,-1.039
22,-0.055,-0.023,-1.016
23,-0.027,0.027,-1.004
24,-0.031,-0.004,-0.996
25,-0.051,-0.023,-1.012
26,-0.012,0.008,-1.027
27,-0.035,-0.004,-1.020
28,-0.090,-0.020,-0.992
29,-0.020,0.000,-0.988
30,-0.008,0.023,-1.012
31,-0.043,-0.020,-1.023
32,-0.043,-0.012,-1.020
33,-0.043,0.016,-1.008
34,-0.055,-0.031,-0.992
35,-0.023,-0.004,-1.012
36,0.012,0.012,-1.016
37,-0.043,0.004,-1.020
38,-0.082,-0.020,-1.012
39,-0.043,0.000,-1.008
40,0.000,-0.004,-1.039
41,-0.023,0.008,-1.023
42,-0.039,-0.012,-1.004
43,-0.055,0.004,-1.000
44,-0.074,-0.012,-1.000
45,-0.039,-0.008,-1.016
46,0.000,0.012,-1.020
47,-0.027,0.000,-0.996
48,-0.059,0.000,-0.984
49,-0.043,-0.012,-1.000
50,-0.023,0.000,-1.023
51,-0.020,-0.008,-1.023
52,-0.016,0.012,-1.004
53,-0.051,0.000,-0.988
54,-0.062,0.000,-0.992
55,-0.035,-0.012,-1.016
56,-0.023,0.000,-1.023
57,-0.031,-0.020,-0.992
58,-0.039,0.004,-1.004
59,-0.016,0.023,-1.000
60,-0.027,-0.020,-1.008
61,-0.051,-0.020,-1.023
62,-0.020,0.000,-1.008
63,-0.023,0.004,-1.000
64,-0.035,-0.004,-1.000
65,-0.035,-0.004,-1.016
66,-0.039,-0.008,-1.020
67,-0.043,-0.020,-1.012
68,-0.031,0.012,-1.004
69,-0.008,-0.004,-1.000
70,-0.043,0.012,-1.016
71,-0.066,-0.035,-1.008
72,-0.035,0.000,-1.012
73,-0.008,0.012,-1.004
74,-0.016,0.004,-1.000
75,-0.039,0.008,-1.008
76,-0.051,-0.020,-1.020
77,-0.043,-0.004,-1.023
78,-0.027,0.000,-1.008
79,-0.012,0.020,-1.004
80,-0.031,0.039,-1.004
81,-0.055,-0.012,-1.027
82,-0.031,0.000,-1.016
83,-0.016,-0.008,-1.023
84,-0.027,0.008,-0.992
85,-0.023,0.016,-0.996
86,-0.047,-0.012,-1.008
87,-0.059,-0.020,-1.020
88,-0.035,0.000,-1.020
89,-0.008,0.020,-1.000
90,-0.012,0.008,-0.992
91,-0.043,-0.008,-1.012
92,-0.059,-0.016,-1.016
93,-0.047,-0.016,-1.023
94,-0.012,0.008,-1.016
95,-0.020,0.008,-1.004
96,-0.047,0.000,-0.996
97,-0.059,-0.020,-1.004
98,-0.031,-0.008,-1.023
99,-0.043,-0.020,-1.020
100,-0.027,0.016,-1.066
101,-0.070,0.066,-1.023
102,-0.234,-0.066,-1.016
103,-0.172,0.031,-0.980
104,-0.156,0.051,-0.977
105,-0.289,-0.031,-1.004
106,-0.277,-0.043,-1.027
107,-0.156,0.062,-1.039
108,-0.164,0.023,-0.977
109,-0.176,0.055,-0.969
110,-0.125,0.043,-0.977
111,-0.168,-0.016,-1.043
112,-0.211,-0.062,-1.059
113,-0.121,0.027,-1.035
114,-0.152,0.031,-0.969
115,-0.188,0.008,-0.945
116,-0.125,0.023,-0.965
117,-0.168,0.043,-1.027
118,-0.375,-0.070,-1.094
119,-0.375,0.008,-1.113
120,-0.215,0.062,-1.000
121,-0.297,0.176,-0.875
122,-0.520,-0.004,-0.926
123,-0.512,-0.125,-1.035
124,-0.305,-0.008,-1.121
125,-0.105,0.117,-1.055
126,-0.227,0.195,-0.902
127,-0.574,-0.016,-0.453
128,-0.473,-0.156,-1.074
129,-0.051,0.074,-1.113
130,-0.215,0.023,-1.031
131,-0.297,-0.055,-0.945
132,-0.043,0.328,-0.914
133,-0.465,-0.051,-0.969
134,-0.512,-0.145,-1.062
135,-0.191,0.051,-1.039
136,-0.301,0.039,-1.047
137,-0.543,-0.074,-0.988
138,-0.348,0.176,-0.988
139,-0.453,0.094,-0.934
140,-0.754,-0.109,-1.062
141,-0.465,-0.082,-1.016
142,-0.250,0.172,-1.004
143,-0.578,0.027,-1.039
144,-0.539,-0.051,-1.000
145,-0.242,0.215,-1.020
146,-0.395,0.004,-1.004
147,-0.508,-0.094,-0.988
148,-0.383,0.062,-1.035
149,-0.297,0.020,-1.043
150,-0.352,0.074,-1.020
151,-0.312,0.133,-0.957
152,-0.301,0.090,-0.895
153,-0.441,0.039,-0.945
154,-0.578,-0.098,-1.070
155,-0.484,-0.078,-1.098
156,-0.211,0.191,-1.008
157,-0.406,0.191,-0.938
158,-0.719,-0.090,-0.926
159,-0.406,0.074,-1.000
160,-0.328,0.070,-1.055
161,-0.578,-0.066,-1.082
162,-0.445,0.051,-0.984
163,-0.309,0.199,-0.984
164,-0.504,-0.102,-0.992
165,-0.488,0.043,-1.023
166,-0.426,-0.023,-1.094
167,-0.414,-0.074,-1.047
168,-0.270,0.219,-0.996
169,-0.453,0.039,-0.961
170,-0.559,0.031,-0.953
171,-0.438,0.090,-1.016
172,-0.531,-0.023,-1.035
173,-0.531,-0.059,-1.000
174,-0.281,0.219,-1.012
175,-0.367,0.105,-0.945
176,-0.523,-0.020,-0.914
177,-0.387,0.090,-0.984
178,-0.590,-0.004,-1.094
179,-0.480,-0.141,-1.090
180,-0.148,0.219,-0.961
181,-0.375,0.086,-0.941
182,-0.562,-0.160,-0.953
183,-0.230,0.043,-1.051
184,-0.230,0.082,-1.074
185,-0.602,-0.105,-1.086
186,-0.297,-0.016,-0.957
187,-0.324,0.328,-1.008
188,-0.598,-0.207,-1.051
189,-0.422,0.035,-0.980
190,-0.156,0.195,-1.016
191,-0.492,-0.168,-0.984
192,-0.297,0.227,-1.004
193,-0.250,0.105,-0.965
194,-0.418,-0.016,-0.977
195,-0.336,-0.020,-0.996
196,-0.066,0.121,-1.020
197,-0.062,-0.113,-0.926
198,-0.410,0.133,-1.074
199,-0.531,-0.195,-1.168
200,-0.238,0.117,-1.047
201,-0.309,0.234,-0.898
202,-0.793,-0.148,-0.957
203,-0.789,-0.250,-1.078
204,0.109,0.156,-1.023
