Sample,X,Y,Z
0,0.008,-0.199,-0.969
1,-0.059,-0.008,-1.016
2,-0.043,0.008,-1.000
3,-0.043,0.012,-1.004
4,-0.016,-0.004,-1.008
5,-0.020,0.008,-1.020
6,-0.051,-0.008,-1.020
7,-0.055,-0.008,-1.016
8,-0.031,0.012,-1.000
9,-0.027,0.008,-1.000
10,-0.027,-0.008,-1.000
11,-0.039,-0.020,-1.020
12,-0.051,-0.004,-1.020
13,-0.031,0.016,-1.004
14,-0.031,0.012,-0.992
15,-0.023,0.008,-0.996
16,-0.039,-0.016,-1.016
17,-0.039,-0.012,-1.023
18,-0.051,0.000,-1.016
19,-0.047,0.000,-1.000
20,-0.023,0.000,-1.008
21,-0.016,-0.004,-1.004
22,-0.035,-0.020,-1.016
23,-0.043,-0.008,-1.016
24,-0.031,0.012,-1.012
25,-0.023,-0.004,-0.996
26,-0.023,-0.004,-1.000
27,-0.043,-0.016,-1.016
28,-0.047,-0.016,-1.020
29,-0.035,-0.004,-1.008
30,-0.020,0.008,-1.000
31,-0.031,0.000,-0.996
32,-0.039,-0.012,-1.000
33,-0.043,-0.004,-1.012
34,-0.047,-0.008,-1.008
35,-0.039,-0.020,-1.016
36,-0.008,0.004,-1.008
37,-0.012,-0.008,-1.004
38,-0.039,-0.012,-1.008
39,-0.039,-0.012,-1.008
40,-0.043,0.020,-1.023
41,-0.016,0.000,-1.012
42,-0.035,-0.004,-1.008
43,-0.059,-0.023,-1.016
44,-0.031,-0.004,-1.012
45,-0.020,-0.008,-1.008
46,-0.031,0.000,-1.008
47,-0.027,-0.004,-1.008
48,-0.020,0.008,-1.016
49,-0.055,-0.020,-1.012
50,-0.055,-0.016,-1.008
51,-0.027,-0.012,-1.004
52,-0.012,0.016,-1.008
53,-0.039,-0.027,-1.012
54,-0.055,-0.012,-1.016
55,-0.035,-0.016,-1.012
56,-0.020,0.000,-1.004
57,-0.035,-0.008,-1.000
58,-0.035,0.004,-1.004
59,-0.043,-0.027,-1.012
60,-0.059,0.035,-1.000
61,-0.035,-0.039,-1.004
62,-0.016,0.008,-1.004
63,-0.027,-0.008,-1.000
64,-0.039,-0.008,-1.020
65,-0.051,-0.020,-1.016
66,-0.047,-0.020,-1.023
67,-0.008,0.000,-1.004
68,-0.016,-0.004,-1.000
69,-0.047,-0.012,-1.008
70,-0.051,-0.035,-1.016
71,-0.035,-0.020,-1.008
72,-0.023,-0.004,-1.012
73,-0.012,-0.008,-0.984
74,-0.035,0.004,-0.988
75,-0.059,-0.023,-1.016
