Sample,X,Y,Z
0,0.258,-0.043,-0.926
1,-0.027,-0.020,-1.008
2,-0.016,-0.012,-1.027
3,-0.023,0.023,-1.012
4,-0.074,-0.023,-1.012
5,-0.043,-0.004,-1.004
6,-0.012,0.020,-1.008
7,-0.043,-0.020,-1.004
8,-0.051,-0.008,-1.020
9,-0.016,0.004,-1.012
10,-0.039,0.000,-1.008
11,-0.047,-0.008,-0.992
12,-0.016,0.008,-1.000
13,-0.008,0.000,-1.000
14,-0.047,-0.020,-1.031
15,-0.055,0.000,-1.020
16,-0.023,0.000,-1.004
17,-0.027,0.004,-1.000
18,-0.023,-0.008,-1.000
19,-0.027,0.004,-1.008
20,-0.039,-0.012,-1.031
21,-0.043,-0.012,-1.020
22,-0.031,0.020,-1.012
23,-0.035,-0.008,-0.988
24,-0.039,-0.004,-1.016
25,-0.020,-0.004,-1.004
26,-0.027,0.000,-1.020
27,-0.039,-0.004,-1.012
28,-0.027,0.016,-1.004
29,-0.031,-0.004,-1.012
30,-0.047,-0.020,-1.012
31,-0.031,-0.004,-1.000
32,-0.035,0.004,-1.012
33,-0.031,-0.016,-1.012
34,-0.020,0.027,-1.016
35,-0.043,-0.008,-0.988
36,-0.051,-0.020,-1.008
37,-0.012,0.008,-1.008
38,-0.016,0.004,-1.012
39,-0.062,-0.023,-1.008
40,-0.035,0.016,-1.008
41,-0.012,0.008,-1.008
42,-0.031,-0.012,-1.020
43,-0.035,-0.012,-1.012
44,-0.023,0.027,-1.008
45,-0.047,-0.004,-1.004
46,-0.059,0.000,-1.008
47,-0.031,-0.004,-1.004
48,-0.027,-0.008,-1.020
49,-0.035,-0.012,-1.016
50,-0.020,0.027,-1.008
51,-0.047,-0.012,-1.000
52,-0.043,0.004,-1.016
53,-0.016,0.004,-1.023
54,-0.027,0.000,-1.016
55,-0.059,-0.012,-1.008
56,-0.043,0.000,-1.012
57,-0.035,0.000,-1.000
58,-0.031,-0.012,-1.023
59,-0.035,-0.004,-1.004
60,-0.012,-0.004,-1.016
61,-0.043,0.012,-1.000
62,-0.035,0.004,-1.016
63,-0.023,0.004,-1.008
64,-0.039,-0.004,-1.012
65,-0.039,-0.016,-1.012
66,-0.023,0.004,-1.004
67,-0.027,-0.004,-1.004
68,-0.031,0.004,-1.012
69,-0.047,-0.004,-1.008
70,-0.051,-0.004,-1.016
71,-0.031,-0.004,-1.012
72,-0.027,-0.012,-1.012
73,-0.027,-0.008,-1.004
74,-0.047,-0.012,-1.004
75,-0.047,-0.012,-1.008
76,-0.031,0.004,-1.016
77,-0.027,-0.004,-1.008
78,-0.027,-0.004,-1.008
79,-0.020,0.012,-1.004
80,-0.047,0.016,-1.043
81,-0.055,-0.016,-1.012
82,-0.035,-0.012,-1.012
83,-0.004,0.004,-1.023
84,-0.020,0.008,-1.004
85,-0.062,-0.004,-0.992
86,-0.055,-0.008,-1.004
87,-0.023,-0.012,-1.016
88,-0.023,0.004,-1.023
89,-0.035,-0.012,-1.008
90,-0.035,0.000,-0.996
91,-0.039,0.004,-1.004
92,-0.043,-0.016,-1.012
93,-0.023,0.000,-1.027
94,-0.027,-0.004,-1.023
95,-0.051,-0.016,-1.000
96,-0.055,0.004,-0.996
97,-0.035,-0.012,-1.012
98,-0.027,-0.008,-1.012
99,-0.027,0.008,-1.008
100,-0.027,-0.020,-1.008
101,-0.059,-0.012,-1.012
102,-0.023,-0.008,-1.004
103,-0.043,0.059,-1.027
104,-0.195,-0.078,-1.023
105,-0.113,0.012,-0.996
106,-0.062,0.086,-0.957
107,-0.266,-0.035,-0.992
108,-0.238,-0.074,-1.012
109,-0.062,0.043,-1.074
110,-0.055,0.023,-1.016
111,-0.109,0.051,-0.953
112,-0.090,0.059,-0.945
113,-0.148,-0.031,-1.027
114,-0.203,-0.082,-1.086
115,-0.141,0.012,-1.086
116,-0.148,0.078,-0.980
117,-0.230,0.078,-0.918
118,-0.312,0.023,-0.465
119,-0.352,-0.039,-1.004
120,-0.312,-0.078,-1.055
121,-0.207,0.000,-1.008
122,-0.160,0.066,-1.000
123,-0.254,0.074,-1.016
124,-0.305,-0.035,-1.035
125,-0.141,0.051,-1.004
126,-0.121,0.043,-0.957
127,-0.324,-0.105,-0.969
128,-0.277,-0.094,-1.070
129,0.012,0.055,-1.086
130,0.098,0.168,-0.957
131,-0.172,0.121,-0.863
132,-0.512,-0.070,-0.984
133,-0.480,-0.195,-1.168
134,-0.207,-0.051,-1.152
135,-0.152,0.262,-1.008
136,-0.543,0.070,-0.836
137,-0.598,0.090,-0.863
138,-0.574,0.051,-1.012
139,-0.684,-0.266,-1.129
140,-0.270,0.051,-1.066
141,-0.141,0.219,-0.980
142,-0.438,0.086,-0.914
143,-0.562,0.000,-0.945
144,-0.426,-0.031,-1.070
145,-0.336,-0.121,-1.105
146,-0.188,0.078,-1.094
147,-0.195,0.000,-0.910
148,-0.184,0.195,-0.883
