Sample,X,Y,Z
0,0.242,-0.113,-0.918
1,-0.051,-0.008,-1.020
2,-0.031,-0.012,-1.008
3,-0.020,0.004,-1.004
4,-0.031,-0.004,-1.004
5,-0.062,0.000,-1.020
6,-0.055,-0.004,-1.000
7,-0.043,-0.004,-1.008
8,-0.020,0.000,-1.016
9,-0.020,0.004,-1.016
10,-0.043,0.008,-1.012
11,-0.055,-0.016,-1.004
12,-0.043,-0.004,-1.008
13,-0.027,-0.008,-1.008
14,-0.012,0.016,-1.016
15,-0.027,0.004,-1.012
16,-0.051,0.012,-1.004
17,-0.059,-0.020,-1.004
18,-0.027,0.000,-1.023
19,-0.016,-0.008,-1.023
20,-0.012,0.023,-1.027
21,-0.055,-0.023,-0.992
22,-0.059,-0.008,-1.012
23,-0.043,-0.012,-1.020
24,-0.027,-0.027,-1.023
25,-0.012,0.016,-1.012
26,-0.039,0.000,-0.996
27,-0.059,0.008,-1.004
28,-0.035,-0.012,-1.012
29,-0.012,-0.008,-1.023
30,-0.016,0.008,-1.020
31,-0.031,0.000,-1.000
32,-0.055,0.008,-1.000
33,-0.047,-0.004,-1.008
34,-0.027,-0.020,-1.023
35,-0.020,0.012,-1.023
36,-0.012,-0.004,-1.008
37,-0.031,0.000,-1.004
38,-0.059,-0.004,-1.008
39,-0.059,-0.027,-1.012
40,-0.027,-0.020,-1.039
41,-0.016,0.004,-1.008
42,-0.020,0.008,-1.000
43,-0.059,-0.004,-1.008
44,-0.062,-0.027,-1.016
45,-0.043,-0.016,-1.016
46,-0.016,-0.008,-1.012
47,-0.016,0.000,-1.008
48,-0.047,-0.004,-1.004
49,-0.047,-0.016,-1.004
50,-0.043,-0.016,-1.012
51,-0.023,-0.008,-1.012
52,-0.020,-0.004,-1.000
53,-0.027,-0.004,-1.004
54,-0.043,-0.008,-1.016
55,-0.039,-0.016,-1.020
56,-0.031,-0.008,-1.008
57,-0.027,-0.004,-1.000
58,-0.027,-0.008,-1.004
59,-0.027,-0.004,-1.008
60,-0.047,-0.051,-1.023
61,-0.043,-0.020,-1.000
62,-0.020,-0.008,-1.004
63,-0.016,0.000,-0.996
64,-0.031,-0.004,-1.008
65,-0.035,-0.012,-1.016
66,-0.043,-0.016,-1.012
67,-0.035,-0.012,-1.008
68,-0.031,-0.008,-1.008
69,-0.027,-0.008,-1.008
70,-0.031,0.000,-1.008
71,-0.047,-0.008,-1.012
72,-0.035,-0.008,-1.012
73,-0.039,-0.008,-1.008
74,-0.027,-0.008,-1.004
75,-0.016,0.008,-1.012
76,-0.035,-0.012,-1.016
77,-0.051,-0.008,-1.012
78,-0.035,-0.008,-1.008
79,-0.023,-0.008,-1.008
80,-0.027,-0.020,-1.008
81,-0.027,0.012,-1.004
82,-0.035,-0.020,-1.012
83,-0.047,-0.023,-1.016
84,-0.035,-0.004,-1.012
85,-0.016,0.004,-1.012
86,-0.027,-0.004,-1.012
87,-0.039,-0.008,-1.004
88,-0.035,-0.008,-1.016
89,-0.035,-0.020,-1.004
90,-0.023,-0.008,-1.012
91,-0.020,0.004,-1.008
92,-0.023,-0.004,-1.012
93,-0.051,-0.016,-1.016
94,-0.051,-0.016,-1.012
95,-0.023,-0.008,-1.012
96,-0.023,-0.008,-1.000
97,-0.027,0.008,-1.012
98,-0.035,0.000,-1.012
99,-0.051,-0.008,-1.004
100,-0.027,0.027,-1.020
101,-0.016,0.012,-1.020
102,-0.016,-0.004,-1.004
103,-0.051,-0.016,-0.992
104,-0.043,0.023,-1.051
105,0.027,0.031,-1.039
106,-0.008,0.074,-1.016
107,-0.059,0.020,-0.992
108,-0.074,-0.016,-0.980
109,0.027,0.082,-0.984
110,-0.016,0.016,-1.012
111,-0.020,0.031,-1.035
112,0.012,0.078,-1.012
113,-0.047,0.039,-0.996
114,-0.062,0.023,-1.004
115,-0.023,0.094,-1.066
116,-0.043,0.086,-1.113
117,-0.012,0.191,-1.098
118,-0.023,0.246,-1.035
119,-0.074,0.223,-0.977
120,-0.027,0.254,-0.961
121,0.035,0.309,-1.070
122,-0.016,0.301,-1.094
123,-0.020,0.387,-1.016
124,-0.043,0.387,-0.930
125,-0.055,0.184,-1.016
126,0.035,0.312,-1.004
127,0.105,0.414,-1.051
128,0.031,0.422,-1.016
129,-0.012,0.395,-0.902
130,0.016,0.312,-0.801
131,0.020,0.273,-0.816
132,-0.117,0.191,-1.004
133,-0.129,0.098,-1.145
134,0.094,0.391,-1.180
135,0.023,0.262,-1.016
136,-0.121,0.172,-0.875
137,0.012,0.309,-0.891
138,-0.133,0.094,-1.051
139,-0.102,0.113,-1.188
140,0.238,0.465,-1.227
141,0.078,0.254,-1.047
142,-0.102,0.328,-0.895
143,-0.047,0.188,-0.887
144,-0.023,0.234,-1.078
145,0.086,0.223,-1.164
146,0.188,0.461,-1.121
147,0.000,0.367,-0.922
148,-0.137,0.395,-0.895
149,-0.109,0.301,-0.977
150,0.031,0.281,-1.070
151,0.152,0.391,-1.074
152,0.043,0.516,-1.082
153,0.012,0.352,-0.930
154,0.004,0.613,-1.008
155,-0.148,0.352,-1.016
156,-0.125,0.391,-1.043
157,0.105,0.469,-0.977
158,0.082,0.434,-0.969
159,0.055,0.434,-1.008
160,0.062,0.559,-1.016
161,-0.168,0.500,-1.016
162,-0.188,0.355,-1.004
163,0.078,0.477,-0.965
164,0.188,0.430,-0.914
165,0.051,0.441,-0.957
166,-0.070,0.535,-1.023
167,-0.086,0.453,-1.027
168,-0.074,0.469,-1.031
169,-0.074,0.262,-0.980
170,0.102,0.375,-1.004
171,0.141,0.387,-0.965
172,0.000,0.492,-1.008
173,-0.094,0.406,-1.066
174,0.008,0.344,-1.133
175,0.207,0.363,-1.047
176,0.152,0.270,-0.938
177,0.031,0.312,-0.922
178,0.059,0.496,-1.035
179,-0.059,0.418,-1.102
180,-0.141,0.301,-1.125
181,-0.027,0.398,-1.094
182,-0.078,0.355,-0.945
183,-0.121,0.344,-0.875
184,0.035,0.566,-0.949
185,-0.078,0.484,-1.098
186,-0.086,0.395,-1.121
187,0.043,0.598,-1.062
188,0.051,0.422,-0.898
189,-0.070,0.273,-0.816
190,0.117,0.539,-0.957
191,0.145,0.438,-1.043
192,0.094,0.523,-1.141
193,0.000,0.320,-1.020
194,0.297,0.457,-0.914
195,0.051,0.258,-0.844
196,-0.066,0.168,-0.992
197,-0.055,0.383,-1.090
198,-0.098,0.504,-1.195
199,-0.352,0.234,-1.086
200,-0.148,0.293,-1.031
201,-0.031,0.312,-0.926
202,-0.098,0.246,-0.992
203,-0.070,0.348,-1.098
204,0.125,0.539,-1.098
205,0.023,0.410,-1.000
206,-0.035,0.266,-0.910
207,0.188,0.078,-0.926
208,0.266,0.270,-0.980
209,0.023,0.094,-1.051
210,0.031,0.434,-1.125
211,0.141,0.348,-0.965
212,-0.141,0.227,-0.941
213,-0.293,0.051,-1.000
214,-0.020,0.223,-1.012
215,-0.055,0.316,-0.980
216,-0.379,0.168,-0.984
217,-0.129,0.160,-1.035
218,-0.047,0.320,-1.113
219,0.012,-0.082,-1.129
220,0.129,0.312,-1.047
221,0.191,0.359,-0.969
222,-0.324,0.051,-0.820
223,0.000,0.234,-0.980
224,0.391,0.164,-1.012
225,0.289,0.371,-1.004
226,-0.234,0.035,-0.969
227,-0.062,0.246,-0.910
228,-0.227,-0.043,-0.895
229,-0.082,-0.020,-1.043
230,0.047,-0.168,-1.109
231,-0.008,0.223,-1.184
232,-0.336,-0.199,-0.973
233,-0.125,0.234,-1.004
234,0.020,-0.160,-0.957
235,0.012,-0.023,-1.109
236,0.094,-0.203,-1.074
237,0.023,0.184,-1.078
238,-0.031,0.012,-1.039
239,0.027,0.137,-0.977
240,-0.129,0.102,-1.082
241,-0.109,-0.168,-1.039
242,0.062,0.156,-0.953
243,-0.051,0.105,-0.895
244,-0.152,-0.023,-0.961
245,-0.035,0.082,-1.031
246,-0.047,0.031,-1.133
