Sample,X,Y,Z
0,0.352,-0.105,-1.059
1,-0.027,0.000,-1.004
2,-0.020,0.012,-1.004
3,-0.039,0.000,-1.000
4,-0.051,-0.004,-1.016
5,-0.031,-0.008,-1.012
6,-0.020,0.008,-1.012
7,-0.047,0.004,-1.004
8,-0.035,-0.004,-0.996
9,-0.035,0.004,-1.016
10,-0.047,-0.023,-1.020
11,-0.039,-0.020,-1.008
12,-0.020,0.012,-0.996
13,-0.039,-0.004,-1.004
14,-0.043,-0.020,-1.012
15,-0.027,0.004,-1.012
16,-0.059,-0.020,-1.000
17,-0.051,-0.008,-1.000
18,-0.012,0.012,-1.008
19,-0.016,0.012,-1.004
20,-0.055,0.000,-1.000
21,-0.051,-0.004,-1.020
22,-0.031,-0.016,-1.012
23,-0.027,-0.004,-1.016
24,-0.031,-0.004,-1.012
25,-0.027,0.012,-0.996
26,-0.039,-0.008,-1.008
27,-0.051,-0.027,-1.020
28,-0.027,-0.004,-1.020
29,-0.012,0.012,-1.008
30,-0.027,0.012,-0.996
31,-0.055,0.000,-1.004
32,-0.051,-0.027,-1.023
33,-0.023,-0.004,-1.012
34,-0.012,0.008,-1.004
35,-0.031,0.000,-1.000
36,-0.031,-0.004,-1.004
37,-0.047,-0.020,-1.020
38,-0.031,-0.008,-1.023
39,-0.008,-0.004,-1.008
40,-0.008,0.004,-1.000
41,-0.035,0.000,-0.996
42,-0.074,-0.027,-1.004
43,-0.039,-0.004,-1.020
44,-0.020,-0.008,-1.012
45,-0.016,0.008,-1.000
46,-0.020,-0.004,-1.000
47,-0.039,0.004,-1.016
48,-0.059,-0.031,-1.016
49,-0.027,-0.004,-1.027
50,-0.012,-0.008,-1.008
51,-0.027,0.008,-0.992
52,-0.043,-0.012,-1.004
53,-0.043,-0.012,-1.012
54,-0.039,-0.012,-1.016
55,-0.016,-0.004,-1.016
56,-0.012,0.020,-1.012
57,-0.039,-0.012,-0.996
58,-0.055,-0.008,-1.008
59,-0.051,-0.020,-1.016
60,-0.031,0.020,-1.035
61,-0.004,0.004,-1.008
62,-0.008,0.008,-1.004
63,-0.035,0.000,-0.992
64,-0.066,-0.023,-1.016
65,-0.039,-0.020,-1.027
66,-0.012,-0.004,-1.012
67,-0.016,0.012,-0.992
68,-0.039,0.004,-0.996
69,-0.059,-0.016,-1.008
70,-0.047,-0.012,-1.027
71,-0.047,-0.031,-1.027
72,-0.004,0.008,-1.000
73,0.008,0.031,-0.984
74,-0.059,-0.016,-0.996
75,-0.078,-0.031,-1.020
76,-0.012,0.008,-1.031
77,-0.012,-0.008,-1.016
78,-0.031,0.000,-0.988
79,-0.043,0.023,-0.992
80,-0.078,-0.059,-0.984
81,-0.047,-0.035,-1.008
82,-0.008,0.012,-1.020
83,-0.023,0.008,-0.996
