Sample,X,Y,Z
0,0.219,-0.086,-0.949
1,-0.020,0.000,-1.016
2,-0.027,0.000,-1.004
3,-0.047,0.004,-1.008
4,-0.023,0.000,-1.012
5,-0.035,-0.008,-1.012
6,-0.035,-0.004,-1.020
7,-0.031,0.004,-1.004
8,-0.031,0.023,-1.004
9,-0.043,-0.004,-1.012
10,-0.039,-0.004,-1.004
11,-0.027,0.000,-1.012
12,-0.027,0.000,-1.008
13,-0.047,0.004,-1.004
14,-0.047,0.000,-1.012
15,-0.035,-0.012,-1.004
16,-0.039,0.004,-1.008
17,-0.031,-0.016,-1.016
18,-0.031,0.000,-1.008
19,-0.031,0.000,-1.004
20,-0.051,0.027,-1.004
21,-0.043,-0.016,-1.004
22,-0.023,-0.004,-1.012
23,-0.031,-0.004,-1.004
24,-0.027,-0.008,-1.008
25,-0.047,-0.004,-1.012
26,-0.031,-0.008,-1.012
27,-0.027,-0.008,-1.016
28,-0.027,0.000,-1.016
29,-0.031,0.000,-1.016
30,-0.027,-0.004,-1.008
31,-0.039,0.000,-1.020
32,-0.035,-0.012,-1.016
33,-0.027,0.004,-1.012
34,-0.027,0.012,-1.004
35,-0.043,-0.004,-1.012
36,-0.039,-0.012,-1.004
37,-0.031,0.008,-1.004
38,-0.035,0.000,-1.008
39,-0.039,-0.004,-1.008
40,-0.043,0.008,-1.008
41,-0.039,-0.039,-1.016
42,-0.047,-0.012,-1.008
43,-0.031,0.000,-1.012
44,-0.023,0.000,-1.004
45,-0.051,-0.008,-1.016
46,-0.016,0.004,-1.008
47,-0.031,-0.008,-1.012
48,-0.039,-0.016,-1.012
49,-0.031,-0.008,-1.012
50,-0.027,0.000,-1.008
51,-0.035,-0.008,-1.008
52,-0.043,-0.020,-1.008
53,-0.031,-0.016,-1.012
54,-0.035,-0.004,-1.016
55,-0.035,-0.016,-1.012
56,-0.027,0.004,-1.008
57,-0.035,-0.008,-1.008
58,-0.035,-0.012,-1.012
59,-0.031,-0.004,-1.012
60,-0.043,-0.020,-1.027
61,-0.043,-0.027,-1.008
62,-0.035,0.004,-1.012
63,-0.023,-0.004,-1.016
64,-0.027,-0.020,-1.008
65,-0.027,-0.008,-1.008
66,-0.035,0.004,-1.008
67,-0.043,-0.016,-1.004
68,-0.039,0.000,-1.020
69,-0.016,-0.008,-1.012
70,-0.043,0.000,-1.008
71,-0.039,-0.020,-1.004
72,-0.031,-0.004,-1.020
73,-0.031,-0.008,-1.008
74,-0.043,-0.012,-1.016
75,-0.039,-0.016,-1.012
76,-0.027,-0.008,-1.008
77,-0.047,-0.012,-1.008
78,-0.035,-0.008,-1.012
79,-0.023,0.000,-1.000
80,-0.059,-0.102,-1.000
81,-0.039,-0.012,-1.004
82,-0.020,0.004,-1.020
83,-0.031,-0.004,-1.012
84,-0.035,-0.004,-1.000
85,-0.023,-0.004,-1.004
86,-0.020,-0.004,-1.012
87,-0.031,-0.008,-1.016
88,-0.035,-0.016,-1.008
89,-0.035,-0.012,-1.004
90,-0.039,-0.016,-1.012
91,-0.027,-0.004,-1.008
92,-0.023,-0.012,-1.020
93,-0.039,-0.008,-1.012
94,-0.047,0.004,-1.012
95,-0.039,-0.012,-1.008
96,-0.031,-0.004,-1.016
97,-0.031,-0.020,-1.020
98,-0.020,-0.008,-1.016
99,-0.027,0.000,-1.008
100,-0.043,0.023,-1.020
101,-0.035,-0.020,-1.000
102,-0.027,-0.008,-1.027
103,0.004,0.027,-1.051
104,0.035,0.059,-1.039
105,0.004,0.102,-0.996
106,-0.082,0.027,-0.996
107,-0.043,0.008,-0.992
108,0.047,0.141,-1.008
109,-0.027,0.086,-1.043
110,-0.070,0.062,-1.039
111,0.031,0.188,-1.023
112,0.004,0.141,-0.992
113,-0.105,0.082,-0.996
114,-0.016,0.164,-1.051
115,-0.012,0.230,-1.105
116,-0.090,0.238,-1.086
117,-0.047,0.320,-1.012
118,-0.051,0.254,-0.930
119,-0.031,0.203,-0.934
120,0.000,0.164,-1.035
121,0.016,0.301,-1.078
122,0.000,0.324,-1.109
123,0.082,0.426,-1.078
124,0.066,0.379,-0.961
125,-0.047,0.172,-0.824
126,0.031,0.250,-0.816
127,0.086,0.324,-0.957
128,-0.070,0.301,-1.094
129,-0.137,0.270,-1.113
130,-0.039,0.285,-1.000
131,-0.031,0.074,-0.848
132,-0.066,0.090,-0.828
133,-0.027,0.109,-1.000
134,-0.062,0.207,-1.184
135,-0.086,0.199,-1.238
136,0.051,0.254,-1.113
137,0.043,0.168,-0.930
138,-0.039,0.023,-0.832
139,0.062,0.250,-0.973
140,0.039,0.211,-1.117
141,0.062,0.383,-1.281
142,0.043,0.266,-1.121
143,-0.074,0.301,-0.934
144,-0.051,0.242,-0.797
145,-0.117,0.344,-0.945
146,-0.051,0.176,-1.066
147,0.250,0.684,-1.219
148,0.078,0.477,-1.047
149,-0.223,0.246,-0.898
150,0.012,0.383,-0.812
151,0.000,0.363,-0.918
152,-0.125,0.246,-1.098
153,0.234,0.629,-1.238
154,0.137,0.629,-1.148
155,-0.160,0.281,-0.926
156,0.031,0.273,-0.719
157,0.086,0.508,-0.840
158,-0.230,0.281,-1.121
159,-0.059,0.516,-1.277
160,0.234,0.738,-1.109
161,-0.141,0.316,-0.906
162,-0.129,0.211,-0.754
163,0.156,0.406,-0.812
164,0.000,0.414,-1.125
165,-0.145,0.422,-1.262
166,0.031,0.590,-1.121
167,0.125,0.434,-0.863
168,-0.098,0.262,-0.828
169,-0.117,0.090,-0.891
170,0.082,0.422,-1.156
171,0.086,0.457,-1.277
172,0.039,0.383,-1.121
173,0.191,0.539,-0.930
174,0.191,0.539,-0.930
175,0.047,0.246,-0.836
176,-0.102,0.227,-0.883
177,0.027,0.332,-1.086
178,0.109,0.559,-1.191
179,0.000,0.441,-1.141
180,-0.047,0.332,-0.938
181,-0.016,0.449,-0.906
182,-0.078,0.348,-0.961
183,-0.285,0.297,-1.059
184,0.082,0.551,-1.113
185,0.082,0.621,-1.105
186,-0.016,0.293,-1.035
187,0.047,0.500,-1.012
188,0.023,0.465,-0.977
189,-0.125,0.359,-0.930
190,-0.066,0.602,-1.020
191,0.164,0.324,-0.965
192,0.156,0.535,-0.973
193,0.016,0.328,-0.922
194,-0.023,0.312,-0.871
195,0.062,0.609,-0.973
196,-0.066,-0.023,-0.828
197,0.008,0.441,-1.098
198,0.242,0.191,-1.027
