Sample,X,Y,Z
0,-0.062,-0.008,-0.977
1,-0.066,0.000,-1.000
2,-0.066,0.004,-0.996
3,-0.066,-0.012,-1.012
4,-0.062,0.008,-1.008
5,-0.055,-0.004,-1.020
6,-0.059,-0.008,-1.012
7,-0.059,-0.008,-1.008
8,-0.062,-0.004,-1.012
9,-0.059,0.000,-1.012
10,-0.059,0.004,-1.031
11,-0.051,-0.008,-1.008
12,-0.059,0.000,-0.996
13,-0.059,0.000,-1.000
14,-0.070,0.000,-1.000
15,-0.062,0.004,-1.012
16,-0.055,-0.012,-1.012
17,-0.051,0.000,-1.008
18,-0.055,-0.004,-1.008
19,-0.066,0.000,-1.012
20,-0.051,0.000,-1.000
21,-0.059,0.023,-1.004
22,-0.047,0.004,-1.012
23,-0.051,0.012,-1.004
24,-0.062,-0.008,-1.008
25,-0.074,-0.004,-1.008
26,-0.062,0.000,-1.008
27,-0.055,0.004,-1.012
28,-0.055,0.008,-1.008
29,-0.055,0.012,-1.012
30,-0.062,0.000,-1.012
31,-0.059,-0.004,-1.012
32,-0.074,0.000,-1.012
33,-0.051,-0.004,-1.008
34,-0.047,0.000,-1.012
35,-0.059,0.000,-1.012
36,-0.066,0.000,-1.004
37,-0.055,0.004,-1.000
38,-0.051,0.000,-1.004
39,-0.066,-0.004,-1.012
40,-0.066,-0.012,-1.020
41,-0.059,0.012,-1.016
42,-0.043,0.008,-1.012
43,-0.070,0.004,-1.004
44,-0.055,-0.004,-0.996
45,-0.059,0.016,-1.008
46,-0.059,-0.008,-1.008
47,-0.055,0.008,-1.004
48,-0.055,0.004,-1.008
49,-0.062,-0.004,-1.004
50,-0.066,0.004,-1.012
51,-0.055,0.004,-1.012
52,-0.051,0.012,-1.004
53,-0.059,-0.008,-1.012
54,-0.055,0.012,-1.004
55,-0.055,-0.008,-0.996
56,-0.066,0.008,-1.008
57,-0.066,-0.004,-1.008
58,-0.043,0.016,-0.992
59,-0.043,0.008,-1.004
60,-0.062,0.008,-0.992
61,-0.062,0.004,-1.020
62,-0.055,0.000,-1.012
63,-0.047,0.008,-1.004
64,-0.047,0.000,-1.016
65,-0.051,-0.004,-1.016
66,-0.059,0.008,-1.004
67,-0.059,0.004,-1.004
68,-0.051,0.008,-1.004
69,-0.047,0.016,-1.008
70,-0.047,-0.004,-0.996
71,-0.055,0.004,-1.016
72,-0.055,0.000,-1.012
73,-0.055,0.012,-1.012
74,-0.055,0.000,-1.012
75,-0.043,-0.004,-1.008
76,-0.055,0.012,-1.008
77,-0.062,-0.012,-1.012
78,-0.074,0.008,-1.008
79,-0.051,0.000,-1.000
80,-0.031,0.020,-1.027
81,-0.055,0.000,-1.020
82,-0.062,0.020,-1.012
83,-0.062,0.000,-1.000
84,-0.059,0.008,-1.004
85,-0.031,0.012,-1.008
86,-0.039,0.016,-1.020
87,-0.074,0.000,-0.996
88,-0.062,0.004,-1.008
89,-0.055,0.008,-1.008
90,-0.047,-0.004,-1.004
91,-0.035,-0.004,-1.008
92,-0.051,0.012,-1.008
93,-0.070,-0.012,-1.016
94,-0.074,0.004,-1.008
95,-0.043,0.012,-1.008
96,-0.043,0.004,-1.023
97,-0.051,0.020,-1.008
98,-0.078,-0.012,-1.008
99,-0.176,0.055,-1.023
100,-0.273,-0.020,-1.051
