Sample,X,Y,Z
0,0.035,-0.266,-1.137
1,-0.062,-0.016,-1.852
2,-0.055,0.012,-1.012
3,-0.051,0.000,-1.012
4,-0.047,0.004,-1.016
5,-0.051,0.000,-1.008
6,-0.066,-0.008,-1.004
7,-0.062,-0.004,-1.004
8,-0.051,0.008,-1.016
9,-0.066,-0.012,-1.008
10,-0.055,0.008,-1.016
11,-0.051,0.008,-1.020
12,-0.059,-0.012,-1.020
13,-0.047,0.012,-1.008
14,-0.051,0.000,-1.004
15,-0.066,0.004,-1.008
16,-0.055,0.012,-1.004
17,-0.051,0.008,-1.004
18,-0.062,0.000,-1.008
19,-0.055,-0.004,-1.012
20,-0.039,0.023,-1.008
21,-0.059,-0.020,-1.000
22,-0.055,-0.008,-1.004
23,-0.043,0.004,-1.020
24,-0.059,0.000,-1.000
25,-0.066,0.004,-1.012
26,-0.066,-0.016,-1.008
27,-0.055,0.008,-1.012
28,-0.047,-0.016,-1.012
29,-0.059,0.008,-1.012
30,-0.066,-0.004,-1.008
31,-0.062,0.000,-1.000
32,-0.062,0.000,-1.008
33,-0.047,0.000,-1.008
34,-0.051,-0.004,-1.000
35,-0.043,-0.004,-1.004
36,-0.059,0.008,-1.004
37,-0.062,-0.012,-1.012
38,-0.051,-0.008,-1.016
39,-0.039,0.004,-1.012
40,-0.039,0.074,-1.008
41,-0.059,0.000,-1.020
42,-0.070,0.000,-1.016
43,-0.062,0.008,-1.012
44,-0.059,-0.008,-1.012
45,-0.059,-0.012,-1.008
46,-0.047,-0.004,-1.004
47,-0.066,0.000,-1.016
48,-0.055,-0.004,-1.012
49,-0.055,0.000,-1.008
50,-0.062,-0.008,-1.004
51,-0.055,0.004,-0.996
52,-0.055,-0.008,-1.004
53,-0.059,-0.004,-1.000
54,-0.047,0.000,-1.012
55,-0.070,-0.023,-1.012
56,-0.055,-0.016,-1.008
57,-0.047,0.012,-1.008
58,-0.051,-0.016,-1.020
59,-0.066,-0.012,-1.016
60,-0.055,0.023,-1.008
61,-0.059,-0.008,-1.008
62,-0.051,-0.004,-1.004
63,-0.059,0.004,-1.008
64,-0.047,0.004,-1.008
65,-0.062,-0.008,-1.008
66,-0.062,-0.004,-1.012
67,-0.055,-0.004,-1.008
68,-0.059,-0.008,-1.012
69,-0.051,-0.016,-1.008
70,-0.039,0.000,-1.012
71,-0.055,-0.012,-1.004
72,-0.070,-0.004,-1.004
73,-0.059,-0.012,-1.008
74,-0.043,-0.004,-1.016
75,-0.055,-0.012,-1.012
76,-0.066,0.000,-1.000
77,-0.059,-0.004,-1.004
78,-0.055,0.000,-1.004
79,-0.055,-0.008,-1.008
80,-0.051,0.000,-1.004
81,-0.066,-0.008,-1.008
82,-0.055,0.004,-1.008
83,-0.051,-0.008,-1.012
84,-0.066,0.000,-1.020
85,-0.051,-0.023,-1.012
86,-0.055,-0.004,-1.008
87,-0.062,-0.008,-0.996
88,-0.059,-0.012,-1.000
89,-0.051,0.000,-1.012
90,-0.051,-0.008,-1.016
91,-0.062,-0.020,-1.004
92,-0.066,-0.004,-1.000
93,-0.066,-0.023,-1.000
94,-0.031,0.012,-1.004
95,-0.055,-0.008,-1.012
96,-0.074,-0.023,-1.012
97,-0.059,0.000,-1.012
98,-0.062,-0.012,-0.996
99,-0.043,-0.004,-1.004
100,-0.020,-0.027,-0.992
101,-0.043,0.027,-1.055
102,-0.027,0.016,-1.055
103,0.020,0.082,-1.035
104,-0.016,0.105,-1.027
105,-0.094,0.043,-0.996
106,-0.086,0.059,-0.992
107,-0.023,0.121,-1.023
108,-0.031,0.164,-1.078
109,-0.051,0.188,-1.098
110,-0.047,0.230,-1.098
111,-0.051,0.246,-1.027
112,-0.070,0.242,-1.004
113,-0.082,0.266,-0.996
114,-0.062,0.289,-1.000
115,-0.055,0.359,-1.016
116,-0.055,0.395,-1.012
117,-0.023,0.367,-1.000
118,0.070,0.457,-1.031
119,0.023,0.418,-1.008
120,0.004,0.480,-0.945
121,0.070,0.512,-0.922
122,0.062,0.457,-0.922
123,-0.039,0.414,-0.926
124,-0.043,0.441,-1.016
125,0.000,0.500,-1.031
126,-0.074,0.293,-0.965
127,-0.016,0.398,-0.977
128,-0.043,0.371,-0.941
129,-0.230,0.277,-0.992
130,-0.090,0.309,-1.000
131,0.102,0.520,-1.066
132,-0.027,0.207,-0.941
133,-0.078,0.230,-0.945
134,0.094,0.215,-0.930
135,0.055,0.285,-1.051
136,-0.043,0.207,-1.125
137,0.082,0.402,-1.133
138,0.195,0.430,-1.074
139,-0.039,0.234,-0.961
140,-0.086,0.164,-0.969
141,-0.004,0.371,-0.992
142,-0.188,0.336,-1.031
143,-0.215,0.363,-1.141
144,0.039,0.500,-1.078
145,0.031,0.414,-1.004
146,-0.145,0.250,-0.984
147,-0.086,0.340,-0.992
148,-0.086,0.477,-1.102
149,-0.152,0.449,-1.098
150,0.062,0.574,-1.039
151,0.203,0.566,-0.465
152,-0.059,0.367,-0.891
153,-0.074,0.355,-0.949
154,0.156,0.605,-1.012
155,0.008,0.570,-1.031
156,-0.125,0.488,-1.008
157,0.070,0.531,-0.891
158,0.055,0.492,-0.871
159,-0.219,0.312,-0.934
160,-0.086,0.410,-0.953
161,0.125,0.594,-0.996
162,0.102,0.488,-0.988
163,0.078,0.375,-0.910
164,0.164,0.352,-0.938
165,0.129,0.312,-1.012
166,-0.070,0.152,-1.078
167,0.031,0.426,-1.168
168,0.004,0.410,-1.160
169,-0.199,0.285,-1.078
170,-0.180,0.312,-1.027
171,-0.062,0.426,-1.008
172,-0.266,0.336,-0.922
173,-0.301,0.309,-0.984
174,-0.059,0.578,-1.020
175,-0.016,0.414,-1.086
176,-0.117,0.371,-1.051
